日期,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
2022-01-01,123.42,119.16,99.21000000000001,106.05,98.88,95.49,85.22999999999999,86.82,78.36,72.72,75.96000000000001,67.92,68.37,59.16,69.63,62.34,65.01,68.13,51.54000000000001,51.75,58.17,65.07,59.97,58.98,60.84,59.58,73.14,76.8,86.76,92.1,90.03,91.05,97.25999999999999,124.41,126.9,132.18,102.9,112.32,113.01,106.14,104.64,114.87,129.06,112.47,106.11,128.52,125.52,126.39,121.41,118.41,112.38,107.61,104.76,115.56,123.45,101.88,89.28,98.4,85.5,94.65,88.44,90.09,84.57,87.15,74.94,94.19999999999999,85.65,83.64,92.34,93.09,122.61,144.81,137.46,158.88,160.65,145.53,180.15,142.29,161.67,168.33,172.68,160.35,176.67,157.38,171.63,178.74,174.81,160.2,179.04,172.02,142.23,157.89,129.54,145.11,105.48,111.81
2022-01-02,106.14,106.2,87.57,87.50999999999999,78.3,74.7,70.59,58.47,61.68,63.51000000000001,59.73,57.87,63.75,55.31999999999999,46.29,50.7,62.48999999999999,51.03,50.16,48.42,53.82,49.02,56.43,60.12,51.45,60.12,71.28,67.86,66.69,68.64,70.05,97.08,104.61,103.89,109.26,113.19,106.86,138.21,110.82,124.05,116.94,108.9,112.5,99.93,104.91,102.42,96.72,116.49,104.1,95.43,100.08,113.52,110.76,103.71,88.92,87.12,83.91,90.06,90.0,84.96000000000001,100.74,108.9,86.52000000000001,68.88,81.81,85.25999999999999,103.02,92.52,105.51,118.44,125.07,147.0,148.86,169.71,199.2,177.78,189.72,178.17,170.4,185.01,173.43,177.24,186.33,209.46,207.03,200.4,177.57,172.41,163.5,168.33,156.21,167.22,164.46,145.89,126.06,123.96
2022-01-03,95.4,73.89,86.31,81.6,76.44,62.64,66.06,60.06,61.2,57.45,62.16,52.2,54.57,59.55,48.69,56.04000000000001,60.6,63.42,60.18,48.81,58.92,47.97,53.52,58.95,65.13,72.06,52.14,77.28,73.05,67.71,88.74,96.81,102.69,115.47,118.95,111.54,120.24,119.58,118.29,122.4,117.78,111.9,108.99,102.9,95.25,105.48,118.2,119.4,117.51,127.86,132.66,117.36,115.86,114.42,103.71,101.1,118.23,103.26,104.76,108.3,93.06,90.39,103.92,99.30000000000001,101.16,106.41,103.17,94.95,98.64,115.62,133.89,155.04,168.78,168.69,207.48,191.79,214.11,206.01,194.76,208.92,206.16,216.21,208.62,202.53,197.91,171.75,192.54,205.38,199.89,166.8,176.37,161.31,136.71,139.11,134.28,114.45
2022-01-04,104.16,102.57,81.09,76.11,62.25,60.56999999999999,59.76000000000001,61.83,71.52,62.52,63.87,60.42,56.7,61.23,59.67,62.55,56.1,54.57000000000001,56.52,55.2,50.28,47.34,47.73,46.98,58.2,67.65,78.53999999999999,105.33,101.97,107.43,88.83,101.61,119.22,126.93,119.73,104.73,106.68,96.21000000000001,116.31,94.11,92.58,91.2,92.61,96.84,81.84,96.57,101.67,103.44,100.89,93.42,90.84,86.52,79.65,81.0,76.86000000000001,97.77000000000001,84.50999999999999,77.13,70.89,83.25,78.84,72.99000000000001,76.56,77.7,71.28,88.17,68.64,80.94,101.61,94.22999999999999,121.44,146.76,146.91,185.7,169.5,177.42,162.66,182.25,185.46,184.35,189.6,203.13,199.08,193.74,203.19,216.42,176.19,189.36,169.2,166.44,148.5,163.44,125.34,133.92,134.28,120.09
2022-01-05,110.19,81.96000000000001,89.61,78.57,84.06,77.13,80.03999999999999,78.87,68.07000000000001,67.38,67.47,61.14,58.71000000000001,51.9,47.67,54.54,54.9,57.33,52.5,53.52,52.41,55.77,56.01000000000001,56.73,61.47,92.22,84.81,94.35,116.52,124.74,126.51,110.55,115.35,119.79,109.95,113.85,98.52,105.63,110.76,88.53,91.62,88.65,89.55000000000001,88.77,77.52000000000001,93.24000000000001,84.57,92.88,97.83,100.62,110.37,97.74000000000001,103.41,92.28,100.44,81.81,81.51,82.92,76.68,90.78,109.77,100.17,75.17999999999999,83.85,95.67,78.93,95.66999999999999,94.71,93.9,120.27,125.28,133.89,150.15,179.34,149.16,158.25,154.86,142.35,167.61,182.31,167.43,161.94,178.47,188.64,195.24,223.53,181.29,220.8,211.77,213.27,198.51,165.57,152.28,142.2,126.15,124.14
2022-01-06,120.03,107.82,83.94,88.89,91.41,78.75,82.05000000000001,83.31,68.03999999999999,73.32,70.17,70.95,70.47,64.32,62.94,71.91,60.42,60.81,61.38,63.72,60.78,63.56999999999999,48.3,58.2,58.2,74.04,82.5,100.83,115.08,121.83,108.57,107.49,110.1,124.26,100.44,118.74,130.86,107.13,90.78,76.83,89.61,90.50999999999999,109.02,91.47,85.95,79.53,92.55,90.53999999999999,101.01,95.75999999999999,106.86,102.36,87.53999999999999,95.94,83.07,84.63,78.3,86.7,83.94,87.30000000000001,80.49,80.00999999999999,87.15,77.97,88.59,96.27000000000001,87.87,100.59,112.83,125.19,124.86,139.89,146.85,171.12,165.9,161.88,158.97,176.1,173.64,185.52,195.15,163.98,173.67,190.11,182.13,207.96,186.81,179.94,198.75,178.41,180.69,154.77,151.47,122.22,122.88,98.82
2022-01-07,92.07,84.42,83.97,73.65,72.69,76.5,77.31,74.55000000000001,74.03999999999999,72.21,68.03999999999999,62.25,65.91,59.67,70.23,62.1,51.39,67.41,60.98999999999999,54.72,61.29000000000001,74.91,68.85,63.75,57.06,64.32000000000001,78.57,94.05000000000001,108.24,105.27,108.09,125.19,119.46,134.28,118.53,119.4,129.6,106.14,96.42,100.83,93.84,94.05,102.48,94.29,91.74000000000001,99.24000000000001,87.44999999999999,90.44999999999999,71.07,103.5,84.53999999999999,101.16,84.93,79.38,85.97999999999999,78.84,95.75999999999999,81.15,82.53,84.72,85.8,90.6,93.96000000000001,108.6,105.72,87.9,85.02000000000001,78.09,94.22999999999999,101.82,120.39,121.98,148.05,182.76,185.22,171.72,166.08,183.33,186.18,177.24,178.38,171.6,199.89,181.77,213.81,185.58,206.19,196.47,191.97,186.6,181.23,146.19,152.94,147.45,118.44,100.5
2022-01-08,103.83,94.02,91.14,79.92,70.08,74.79,65.88,62.22,65.61,61.26,62.19,54.75,55.26000000000001,53.43,55.44,58.08,50.94,63.72,56.76,47.94,48.81,52.47,54.96,52.34999999999999,52.23,67.74,65.22,76.41,86.64,99.96000000000001,96.53999999999999,91.8,129.24,142.32,148.23,118.62,126.78,118.2,121.14,94.11,107.61,95.22,107.28,93.87,88.95,106.47,108.99,92.52000000000001,93.53999999999999,98.43,88.05,100.8,114.24,93.27000000000001,97.17,101.79,94.32,93.75,91.62,98.61,94.05000000000001,104.85,79.32,113.85,98.91,93.09,106.77,125.79,111.42,143.43,127.68,150.0,160.35,160.5,165.18,153.21,169.89,178.32,177.3,187.47,195.09,208.86,208.44,205.23,189.78,189.99,195.24,209.58,173.49,174.12,167.28,168.93,158.94,135.99,140.64,120.39
2022-01-09,114.27,102.54,102.54,89.82,82.28999999999999,77.43,70.71000000000001,74.64,60.48,62.79,63.95999999999999,63.45,67.32,62.37,62.7,53.01,53.73,53.73,59.25,54.69,56.13,50.73,54.75,54.36,53.7,62.13,73.47,73.28999999999999,74.37,74.55,90.41999999999999,110.58,103.47,125.22,116.94,121.47,119.55,99.66,122.16,115.32,106.92,118.35,127.35,114.84,108.18,118.41,117.66,126.45,119.25,124.98,135.6,127.53,134.07,120.72,95.19,111.9,108.3,84.69,86.13,73.2,86.31,85.98,75.15,84.99000000000001,96.66,90.81,111.0,116.88,108.75,132.03,140.79,158.58,161.61,179.7,163.32,166.92,177.99,196.29,183.39,211.47,214.26,216.12,212.07,203.37,219.24,222.66,240.69,195.75,171.78,170.79,163.08,136.29,144.54,139.17,138.33,119.22
2022-01-10,117.54,109.98,85.2,85.22999999999999,77.67,83.03999999999999,78.0,80.85,67.53,71.82,76.68,62.49,59.7,67.8,60.48,59.48999999999999,54.93000000000001,51.63,58.59,62.55,54.87,60.45,69.06,65.73,63.93,73.25999999999999,88.83000000000001,112.71,95.82,111.87,114.63,113.52,98.19,117.39,116.76,106.11,92.73,96.63,98.97,102.06,77.85,97.77000000000001,80.82,95.22,92.1,83.85,88.11,85.08,100.02,104.7,102.42,87.24000000000001,87.6,87.72,84.36,75.72,87.33,83.1,89.16,80.58,83.01,77.58,80.49000000000001,85.22999999999999,85.83000000000001,104.13,97.95,91.11,94.35,93.33,106.53,134.73,141.39,146.52,167.04,171.09,183.36,171.57,193.8,185.1,190.77,185.97,192.03,164.55,205.17,177.78,179.4,159.6,168.96,169.56,155.94,153.42,144.84,114.72,112.8,112.5
2022-01-11,104.64,93.57,82.8,82.8,71.58,69.18,67.29,67.8,60.18,60.78,55.8,59.61,66.93,59.28,57.09,58.44,49.5,50.28,56.48999999999999,47.40000000000001,55.2,50.43,54.6,45.72,56.22,65.88,74.28,84.24000000000001,117.36,143.73,120.33,108.99,102.09,107.97,126.57,109.08,114.24,113.04,101.61,96.96000000000001,104.25,97.62,93.12,97.95,96.36,84.57,97.83,91.44,86.61,102.72,91.38,96.33000000000001,101.07,94.68,81.44999999999999,81.39,77.88,89.97,100.68,103.35,91.17,92.91,102.63,98.85,84.39,93.99000000000001,96.3,99.63,109.65,105.27,115.8,126.27,150.3,153.03,185.04,162.6,164.97,166.35,159.75,144.03,200.4,172.38,201.06,203.94,206.97,206.34,217.83,185.58,196.89,171.03,170.88,162.6,137.43,133.53,126.72,113.34
2022-01-12,109.95,99.9,86.94,77.49000000000001,75.09,74.46000000000001,76.56,64.71000000000001,69.87,68.1,71.61,58.14,65.75999999999999,66.27,63.99,61.5,59.37,57.3,61.02,51.54000000000001,59.46,62.49,52.05,57.36,62.16,77.1,73.56,96.63,87.3,107.79,105.24,106.17,107.7,122.52,136.05,145.83,125.07,117.78,108.3,111.87,104.28,103.32,120.15,98.25,109.8,113.97,119.91,124.5,105.48,109.23,120.63,126.24,134.01,114.0,119.67,106.11,100.35,91.38,97.83,74.75999999999999,97.98,88.28999999999999,104.43,93.51,81.96000000000001,78.21000000000001,93.51,100.5,93.48,106.32,129.48,152.67,163.29,174.51,169.29,189.15,208.02,185.13,193.47,193.89,227.01,230.85,238.11,218.73,206.25,188.43,192.57,186.57,182.07,208.17,181.98,192.36,165.45,138.66,120.69,122.4
2022-01-13,116.01,98.37,86.94,82.89,74.25,68.22,81.93,66.33,67.59,75.72,69.47999999999999,66.69,71.55000000000001,62.97,57.92999999999999,66.69,57.3,68.1,57.90000000000001,51.87,52.08,54.39,57.9,55.62,66.81,67.25999999999999,70.17,77.03999999999999,80.88,85.56,113.31,122.64,106.14,115.89,104.97,117.45,112.71,124.23,114.27,125.91,119.4,109.14,106.32,102.0,100.14,95.52000000000001,108.75,97.97999999999999,101.16,110.43,103.71,103.89,106.98,100.98,90.81,87.69,90.50999999999999,92.37,90.15,99.57,82.56,76.53,70.92,71.67,88.02,85.19999999999999,99.53999999999999,102.33,109.56,105.69,121.56,147.15,167.28,174.96,178.71,177.06,193.26,194.73,167.07,166.95,185.13,204.45,204.45,221.07,223.23,226.92,214.29,215.13,224.55,180.66,169.56,152.13,155.94,117.66,119.22,106.56
2022-01-14,99.30000000000001,81.38999999999999,84.06,78.45,72.63,68.91,57.72,66.18,60.09,61.62,60.72,66.47999999999999,63.81,68.85,66.66,65.49000000000001,60.6,62.31,64.08,62.64,65.85,65.13,63.45,66.24,72.03,65.7,80.31,89.03999999999999,80.52000000000001,91.94999999999999,117.84,122.16,134.49,134.73,126.3,116.34,101.13,104.67,99.78,105.0,104.1,102.72,110.97,106.05,97.59,102.3,107.31,115.74,121.23,118.77,94.65,120.09,107.94,112.08,112.29,112.26,91.68,93.6,92.07,101.88,101.4,95.46000000000001,92.91,94.86,97.14,97.41,98.58,106.86,122.67,123.39,127.11,144.57,164.31,178.14,173.07,184.92,174.63,176.1,178.77,203.01,207.69,195.06,197.61,190.02,199.38,214.05,203.16,198.81,198.63,164.97,164.31,152.37,147.0,126.54,114.66,121.8
2022-01-15,107.64,109.62,107.46,98.49000000000001,94.97999999999999,85.62,77.49000000000001,82.65,75.45,78.18,76.23,79.35,71.61,62.67,63.66,64.35,67.8,62.22,59.73,58.53,60.87,69.21,67.05,65.13,60.06,58.92,60.15000000000001,89.37,86.03999999999999,79.28999999999999,89.91,123.45,120.21,148.41,142.11,137.97,113.01,116.61,137.43,118.2,116.49,119.01,130.17,114.81,115.38,124.53,103.62,102.33,120.48,125.91,121.53,107.7,121.95,113.22,97.38,108.84,117.27,96.09,118.35,103.89,104.97,105.18,106.83,85.94999999999999,105.78,105.93,113.94,113.07,111.18,124.5,133.02,141.84,173.88,185.91,181.62,179.67,161.22,164.4,163.29,160.14,171.54,181.14,192.27,187.71,199.29,210.6,187.77,195.9,157.44,165.03,171.39,149.31,133.53,135.6,116.25,121.74
2022-01-16,117.72,100.14,89.16,85.62,89.19,74.16,70.95,77.1,67.98,72.0,79.41,62.43000000000001,60.63,61.31999999999999,55.35000000000001,54.6,52.89,71.97,67.41,53.79,58.31999999999999,58.14,56.31,60.93000000000001,51.21,66.42,55.44,66.57000000000001,68.22,84.63,82.47,104.4,101.31,105.96,143.28,136.56,125.52,147.15,135.3,111.39,122.22,119.16,113.13,111.12,114.63,112.62,119.79,98.19,125.94,138.84,121.08,123.03,92.19,96.33,108.72,114.96,109.77,111.27,95.82,108.09,92.55,93.72,91.89,103.05,95.19,91.5,103.95,99.78,110.52,108.39,139.59,143.7,163.26,176.91,171.6,193.62,213.33,197.49,186.45,191.4,182.16,199.65,232.56,232.98,225.45,227.16,209.1,207.24,198.51,198.66,162.78,160.44,162.12,163.62,140.7,118.32
2022-01-17,103.5,96.30000000000001,98.31,97.74000000000001,79.25999999999999,87.87,83.85,81.33,77.64,67.71,66.47999999999999,68.82,57.93,62.25,64.86,57.87,56.7,52.05,55.38,63.18,58.05,65.82000000000001,61.68,49.38,61.44,63.84,59.07,69.09,72.53999999999999,97.56,121.68,122.76,123.6,140.46,131.16,129.87,106.47,105.18,119.49,109.8,114.03,106.59,109.2,99.93,94.56,105.45,109.65,107.91,89.34,87.24000000000001,99.44999999999999,95.13,104.76,99.36,93.75,85.28999999999999,91.53,98.64,87.3,79.77,78.45,81.75,96.3,86.73,98.03999999999999,94.5,103.53,96.57,96.33,105.51,113.76,131.73,148.29,156.66,146.76,163.23,184.89,210.15,210.45,182.58,198.9,196.86,217.41,224.76,225.36,226.95,204.96,202.32,177.66,177.3,181.05,166.92,141.66,139.77,130.98,121.11
2022-01-18,109.2,89.34,82.8,80.82,84.03,85.41,71.37,79.11000000000001,72.36,75.12,64.02,74.7,70.26,76.83,70.83,57.36,64.8,54.06,52.02,61.14,53.7,66.3,67.5,57.98999999999999,57.66,56.91,63.20999999999999,74.49,92.94,96.21000000000001,107.67,109.17,110.85,122.46,117.69,123.09,107.46,111.39,116.76,110.97,107.19,108.6,105.15,108.18,99.96000000000001,104.25,111.81,133.05,116.91,104.1,99.75,100.74,110.04,102.27,91.65,94.26,91.44,90.12,85.5,86.31,95.64,90.0,83.64,76.71,87.15,87.72,84.36,99.96000000000001,99.27,114.48,123.09,143.91,165.06,164.85,180.57,186.36,195.0,198.84,188.76,193.77,193.29,203.04,174.99,204.78,214.5,202.23,203.52,193.41,197.1,184.08,153.6,130.5,131.7,129.69,114.93,97.05
2022-01-19,74.00999999999999,76.95,70.38,78.66,67.11,63.27,65.49,59.28,58.92,64.41,48.0,61.67999999999999,58.5,61.17,59.48999999999999,55.83,50.52,53.07,62.31,52.56,58.59,61.14,54.27,60.69,63.09,64.77,71.42999999999999,76.8,85.17,108.33,90.66,92.13,102.21,114.87,119.64,118.29,124.35,120.51,99.53999999999999,87.09,104.79,97.53,103.14,113.28,99.24,109.62,123.24,108.69,112.92,110.97,112.74,115.8,109.89,109.83,112.74,105.21,89.88,99.84,97.68,115.41,104.37,95.46000000000001,96.06,112.98,115.26,113.52,117.0,111.78,130.05,133.41,127.29,162.24,149.94,172.71,164.85,198.99,178.14,202.2,196.74,172.83,175.53,172.65,192.69,209.19,185.34,183.03,191.22,189.15,175.98,153.57,134.76,124.86,124.56,137.52,108.9,98.16
2022-01-20,95.07,78.63,70.47,87.41999999999999,70.5,70.53,63.72,65.22,66.03,63.12,59.91,65.94,55.89,49.89,56.48999999999999,54.09,57.60000000000001,47.79,51.42,53.22,56.97,60.06,54.09,60.57,73.11,72.99,72.87,84.9,77.13,94.98,94.71,118.14,92.43,109.53,125.61,126.33,136.71,118.11,124.77,121.32,122.34,124.02,118.08,121.92,121.83,134.34,97.14,108.21,127.95,130.35,129.09,114.75,109.95,108.81,102.84,93.33,94.62,95.22,98.64,99.93,98.46000000000001,86.82,97.35,98.97,109.23,108.0,120.72,118.47,122.01,127.74,137.31,132.51,166.02,182.97,191.7,170.28,178.11,164.79,181.77,185.58,181.77,178.56,196.95,202.2,199.17,194.22,202.11,195.51,215.49,168.99,151.62,157.11,145.8,143.61,133.71,122.37
