1-筛选台区.py日期,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7888,6.7675,6.7695,6.7466,6.7449,6.7391,6.7356,4.982
2022-01-17,5.0123,5.0427,3.1421,3.8946,2.6418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1311,1.1229,1.3665,1.1443,1.1388,1.3471,1.3183,1.1647,1.0299,7.9571,11.3908,11.2115,11.122,11.3693,11.1788,11.5505,11.1202
2022-01-18,9.4618,7.6057,4.4252,4.542,4.3777,4.4067,4.4822,4.4429,4.3416,4.3552,4.3795,4.3251,4.4373,4.3282,4.5114,4.3818,4.3052,5.884,5.4885,3.6598,3.5682,3.2974,3.267,3.18,3.0802,1.1124,1.0139,0.9247,0.1577,0.1134,0.0956,0.0999,0.0614,0.0568,0.0368,0.0269,0.0793,0.0383,0.0387,0.0376,0.038575,0.03955,0.040525,0.0415,0.0294,0.0737,0.0298,0.0295,0.0307,0.0316,0.3554,0.0906,0.0297,1.7053,1.5873,0.218,0.0916,0.0293,0.0483,0.1031,0.1198,0.0866,0.0308,0.1134,0.0306,0.0294,0.0725,0.0298,0.0296,1.6303,1.5816,1.6581,0.2698,0.2257,0.2918,0.0637,0.0647,0.2977,0.2757,0.6439,1.1535,1.1468,1.1937,1.1386,1.8082,1.146,1.1293,1.1296,7.9074,7.8801,6.8293,7.2528,7.2216,7.2177,7.2712,7.2282
2022-01-19,7.226,7.2265,5.4487,4.2416,3.1762,0.4989,0.4946,0.4997,0.4938,0.503,0.4998,0.5432,0.5007,0.5062,0.4982,0.5089,0.5077,0.5495,0.5052,0.5017,0.5021,0.5022,0.4996,0.4957,0.5398,0.4923,0.5124,2.2275,0.5044,0.5784,0.0582,0.0593,0.0408,0.0817,6.8747,0.0396,0.0272,0.2168,0.2579,0.0277,6.8635,6.9285,6.8331,6.9024,7.0311,0.0661,0.077,0.1055,0.0643,0.2402,0.0315,0.0396,0.0803,0.0391,0.0385,0.0268,0.0654,0.1026,0.0632,0.0652,0.073,0.0754,0.1179,0.0641,0.0653,0.062,0.0646,0.0822,0.2128,1.582,0.0404,0.4121,0.0603,1.4523,1.2342,1.1604,1.348,1.1705,1.1658,1.173,1.1743,1.2272,1.1818,1.0361,1.0405,1.2354,1.0386,0.8186,0.7175,0.9969,0.7448,0.5863,1.0962,0.6217,0.5984,1.0826
2022-01-20,1.1458,1.5766,1.6008,1.5797,2.0736,1.5948,1.6087,1.9624,1.7541,1.787,1.7423,1.7068,1.8109,1.5891,1.6518,1.5054,1.1274,1.1549,0.9326,0.8455,1.0179,0.8969,0.8873,0.9952,0.9642,0.8732,0.7385,0.8597,0.6804,0.0462,0.0464,0.04,0.0384,0.0687,0.0385,0.0376,0.0387,0.0386,6.8507,6.8296,6.8126,6.7982,0.0724,0.0737,0.1066,0.0735,0.0626,0.0616,0.4668,6.8353,6.8477,6.799,6.7935,0.075,0.0626,0.0745,0.105,0.0733,0.0756,0.0617,0.062,0.0729,0.1037,0.0623,0.0738,0.0734,0.0623,0.0622,0.0706,0.0274,0.0267,0.0467,0.0617,1.754,0.9909,0.9755,1.0163,1.0333,1.6234,1.3714,1.2195,1.0246,1.0348,1.282,1.0245,1.0769,1.074,1.0448,1.3373,7.6057,7.5678,7.5602,7.5715,7.5523,7.583,7.7174
2022-01-21,7.7174,7.5482,5.7854,5.9328,4.6486,0.8189,0.9906,0.8202,0.822,0.8639,0.8363,0.9964,0.8328,2.1742,2.4389,1.9029,1.7696,1.6918,1.6618,1.6768,1.4942,1.429,1.4177,1.5807,1.0583,1.2842,1.2614,1.1048,1.3377,0.3187,0.2903,0.1804,0.1998,0.1574,0.2021,0.2412,0.1983,0.1974,0.1534,0.1486,0.1508,0.1468,0.1486,0.1912,0.1515,0.1481,0.1499,0.1614,0.1592,0.1571,0.1587,0.202,0.1671,0.1545,0.1462,0.1474,0.4282,0.4456,0.4626,0.4176,0.4211,0.5781,1.1807,1.1999,1.0592,1.0166,1.0259,1.0031,0.9352,0.7679,0.5036,0.5414,0.3995,2.7358,2.5111,1.332,1.1081,1.0629,1.0719,1.099,3.0826,2.9433,1.1262,1.0656,1.0673,1.0936,1.1788,1.0576,0.9479,4.7023,4.6483,4.7033,11.4969,11.4754,11.4606,11.4914
2022-01-22,11.5316,11.1214,11.4948,11.4898,11.4721,11.5207,10.3561,8.6667,4.7176,4.6928,4.7761,4.5915,4.7277,4.742,4.7282,4.7036,4.7855,4.7365,4.7126,4.6846,4.6719,4.6752,3.0059,2.7656,3.6329,3.1166,3.1449,1.1865,1.1745,1.21,0.2558,0.342,0.1568,0.1538,0.1596,0.189,0.1529,0.3521,0.1829,0.1925,0.1872,0.3459,0.2254,0.189,0.1801,0.187,0.3345,0.1836,0.1829,0.3884,0.1819,0.1821,0.3412,0.1856,0.1841,0.1891,0.3035,0.3646,0.1865,0.1887,0.1911,0.1899,0.1912,0.1505,0.3149,0.3369,0.4385,0.3197,0.3696,0.1646,0.1772,0.1804,3.8391,1.2619,1.1966,1.1225,1.3175,1.53,1.1584,1.3064,1.3195,1.1106,1.3747,1.2144,1.1837,1.1856,1.2059,1.1886,1.4034,7.9431,7.9133,7.887,7.8635,7.8922,7.9685,7.845
2022-01-23,8.0206,7.8524,6.6521,6.3304,4.3269,1.2145,1.4772,1.1654,1.2151,1.3059,1.1293,1.1196,1.3588,1.1472,0.182,2.3701,2.0931,1.826,1.7867,1.6378,1.7698,1.5885,1.3912,1.29,1.3116,1.3605,1.3983,2.8388,1.2418,1.2943,1.1385,1.1434,1.0952,0.2114,0.2107,0.2285,0.3282,0.1541,0.1477,0.1567,0.1527,0.3925,0.1902,0.1831,0.1856,0.1534,0.1958,0.3406,0.157,0.156,0.1645,0.1553,0.384,0.2268,0.2466,0.1596,0.1578,0.1603,0.2007,0.16,0.1582,0.2466,0.3236,0.2006,0.1573,0.1603,0.2108,0.2067,0.1949,0.3923,0.1802,0.1793,0.2174,0.2554,1.8896,1.3355,1.6909,1.1373,1.3235,1.3028,1.1554,1.1076,1.1417,1.1347,1.1812,1.2492,1.1568,1.0937,1.5644,7.9559,7.9268,8.0902,7.8705,7.9019,7.9299,8.037
