日期,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.414904,32.829807,16.414904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.634801,47.846287,66.47371,67.36486,63.932953,63.9202,67.41536,62.140553,51.97514
2022-01-17,51.271812,45.10976,37.349953,33.14852,21.203255,5.617733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448056,7.5886507,10.986122,11.943837,11.695211,11.248616,12.34992,13.267769,12.040885,25.772572,65.356995,100.80955,109.50693,108.51063,110.88025,111.16573,109.94353,108.635994
2022-01-18,94.56054,72.81734,49.67382,42.763893,41.64862,40.364014,38.719147,39.011665,42.08822,43.711544,42.991238,41.935516,40.537773,39.21334,39.999954,41.987312,47.412075,51.93575,46.504086,37.925575,33.35004,31.736328,32.44261,32.941452,26.842813,15.414783,9.587929,7.3936524,3.3815973,1.1663829,0.93948257,0.8024782,0.6350713,0.52552336,0.40828237,0.43519095,0.57433814,0.4865482,0.36639032,0.38065338,0.3984728,0.40579033,0.3952509,0.34470937,0.4103603,0.5050769,0.39203408,0.27651805,0.27182508,1.096655,2.0882077,1.4429332,4.2400784,11.468236,11.792494,5.0436487,1.0883834,0.4846706,0.56234175,0.93633115,1.0732994,0.78005433,0.6083853,0.66916305,0.4691083,0.38990656,0.5028765,0.39343408,3.7088795,10.759079,14.7888,12.1068945,5.6600323,2.4166958,2.173096,1.2417558,1.2294056,2.29103,3.3785422,6.08286,9.67241,11.8130455,12.409495,13.356649,14.431947,12.481829,10.696929,28.712645,63.792274,76.11477,70.40094,69.83795,68.79581,72.72208,75.70283,70.47636
2022-01-19,68.21232,64.784744,52.073204,38.472946,25.624445,11.211495,4.7227583,4.8395653,4.961452,4.816893,4.9114494,5.085069,4.8456287,4.93241,4.997801,4.7380085,4.9378996,5.2753816,5.063595,4.5864744,4.5461354,4.8701687,4.979067,5.0415683,5.049275,4.872228,9.195161,13.485318,9.453666,4.5269737,2.0365138,0.5111854,0.521421,18.203487,35.75514,18.005352,0.79502183,1.8415351,1.9313618,19.97325,54.922188,67.73311,63.20676,62.648308,47.616093,16.459923,0.8050272,0.881704,1.1779327,1.418721,0.8482395,0.5107348,0.6682478,0.5235677,0.3331467,0.37078863,0.63366914,0.81603336,0.73301005,0.6666804,0.687037,0.7687239,0.8234602,0.72076017,0.64168084,0.61653936,0.6375674,1.0779607,4.8345647,7.7668977,4.770874,2.2416403,4.895873,10.51291,12.944164,12.796485,12.681519,11.218785,10.725011,11.511443,11.998411,12.9203825,13.233773,11.764684,11.364847,11.859816,10.466779,8.371548,7.8999186,8.159428,7.1836143,7.1859426,8.510895,7.489033,7.029999,9.037481
2022-01-20,11.337253,13.971509,15.939375,16.48471,16.654804,15.969978,16.32226,17.369118,17.45163,16.998478,17.17524,18.28206,17.273634,15.109323,14.789233,13.874067,11.898583,10.387608,9.220334,9.129183,9.360282,8.649346,8.459989,8.936468,9.152828,8.881167,7.9736967,7.355013,5.5372796,2.1509688,0.45902184,0.3810229,0.4468697,0.5435235,0.45319393,0.3758618,0.3796873,16.774998,45.335598,56.128586,58.64191,47.53959,16.639112,0.7895998,0.830308,0.72487223,0.64413,1.4857407,20.250114,53.755257,66.42347,63.96707,49.45042,17.563992,0.65423274,0.75320536,0.85297185,0.7970383,0.7326655,0.6644554,0.6452547,0.7601183,0.7791153,0.6967527,0.7046782,0.69361573,0.6162533,0.60350627,0.5395174,0.35954306,0.31748828,0.4426009,4.94931,11.700258,11.98026,10.070402,10.017317,11.007246,13.359329,13.884594,12.185225,10.575568,10.952222,11.730751,10.865451,10.36106,10.32036,11.0484085,29.151962,62.27957,78.85285,78.285866,76.20058,74.80911,74.237335,74.96761
2022-01-21,74.12916,70.250206,61.409203,54.85728,41.67398,19.018602,8.353646,8.652222,8.629199,8.665945,8.891114,8.849982,11.490354,18.113413,21.509636,19.82324,17.322287,15.862004,15.916459,15.818924,14.386659,13.466564,14.183846,13.81139,11.853356,11.59474,11.6201105,10.753307,8.872204,5.037513,2.5658028,2.1346123,1.9435097,1.8449668,1.9634589,2.0983522,1.9505117,1.765203,1.5775964,1.4470934,1.4262586,1.4905609,1.6427616,1.7063863,1.6001731,1.4919486,1.4840188,1.5381762,1.5583583,1.5184108,1.6000388,1.7675515,1.755187,1.6426914,1.6038543,2.1987967,3.5313218,4.4337096,4.631819,4.482494,4.41687,6.3090386,9.193192,10.037134,9.67121,9.628522,9.869701,10.144246,9.73867,7.7961383,5.5630946,4.618046,9.184261,19.895378,23.47849,16.670862,10.953542,9.935527,10.647932,16.410442,25.349333,23.316244,14.0403805,10.389035,10.358152,10.733329,10.925947,9.984655,18.440132,37.108063,47.133583,61.33942,87.3846,105.03862,114.51352,117.36399
2022-01-22,109.13227,113.60258,115.595634,115.60811,117.47359,120.16135,109.028366,81.128845,56.50227,48.49485,47.337723,44.91966,46.343357,46.300808,41.968388,39.70972,40.47094,43.71386,47.52463,48.31404,47.723026,42.960873,31.177662,26.501728,30.731092,31.553677,25.08359,15.044738,10.550271,8.627207,4.728368,2.6783085,1.8904408,1.4032128,1.5029172,1.6443834,2.0150094,2.4028385,2.1291397,1.7581298,2.1020966,2.5570574,2.2436242,1.7498978,1.730436,2.2293468,2.5394993,2.0786202,2.2274907,2.7165236,2.2347498,2.2092016,2.6159334,2.1380563,1.70936,1.8990101,2.3957412,2.6226108,2.269227,1.9663994,1.8838542,1.8689964,1.8631991,2.1889665,2.8905864,3.3880405,3.4048889,3.203275,2.836126,2.015924,1.5318983,9.592187,20.632833,18.322777,12.249719,11.967305,13.428304,13.482855,12.360392,12.896542,12.538969,11.414173,11.6255245,11.170293,10.794616,11.9474325,12.233605,11.895199,27.57977,57.778706,72.43692,71.71533,72.01385,73.27909,73.78361,74.923035
2022-01-23,76.122345,71.27621,62.877895,55.05462,39.730156,20.43717,12.443968,12.053268,11.771891,11.4031925,10.966802,11.37956,12.004842,8.995335,8.318422,15.382335,19.596561,18.0504,16.637081,15.997292,15.360157,14.348703,12.816447,12.099835,12.351254,12.550965,16.985376,20.914665,16.436598,12.011359,11.196776,11.189372,9.17284,4.238589,1.9365306,2.406811,2.515859,1.8825219,1.4408249,1.4633561,2.142356,2.9010131,2.4239829,1.8074484,1.674319,1.599361,2.1140566,2.5157886,1.9635488,1.5979539,1.7103249,2.1652424,2.8033178,2.6756203,2.0717614,1.5690701,1.3502806,1.4773774,1.6555771,1.6755593,1.8616328,2.4193728,2.6589649,2.1102245,1.5338784,1.6393291,1.9123908,1.931347,2.4367232,2.875907,2.265745,1.9478021,2.3177032,6.5153027,13.01925,14.649429,13.625309,12.620721,12.028393,11.970053,11.29055,11.051151,11.388144,11.483796,11.373311,11.196247,10.631604,11.542975,30.65859,62.27559,76.611115,80.46249,82.613846,82.388855,81.840805,77.795525
