DATA_DATE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
2022-01-01,0.0357,0.0228,0.0045,0.0204,0.017700002,0.025199998,0.0168,0.0213,0.03,0.0204,0.0186,0.0234,0.0213,0.0168,0.0204,0.015899999,0.0204,0.021000002,0.0201,0.0231,0.021000002,0.0207,0.0228,0.0231,0.0198,0.0267,0.039300002,0.018,0.024300002,0.023699999,0.0942,2.8274999,10.8336,21.9567,38.1693,55.713303,78.2007,99.7233,117.982796,133.0392,148.1406,163.8063,177.2721,187.746,198.18599,204.9912,209.2362,213.7386,216.15808,215.17828,213.4206,209.1402,205.64279,199.0245,192.498,186.5727,177.4413,164.1213,153.3399,137.98831,125.7186,112.542595,93.9285,75.0954,53.418304,33.828,18.0837,8.5287,1.2786,0.49440002,0.279,0.019199999,0.0246,0.0165,0.0264,0.0231,0.019199999,0.022499999,0.0231,0.021000002,0.0195,0.02265,0.019199999,0.0216,0.023699999,0.0216,0.0249,0.0228,0.0246,0.019199999,0.0222,0.031799998,0.030299999,0.0267,0.024,0.015
2022-01-02,0.030299999,0.0162,0.017549999,0.023699999,0.0204,0.018,0.0156,0.0171,0.0228,0.017700002,0.0207,0.0087,0.0156,0.0186,0.0183,0.0216,0.04879018,0.11348035,0.18717054,0.25306073,0.3270509,0.38154107,0.45583123,0.51722145,0.58131164,0.6496018,0.703492,0.78258216,0.8547723,0.9176625,1.1116313,3.6216002,15.233101,29.9901,49.95945,71.5932,97.0878,121.367096,140.2764,142.43025,164.2836,175.9356,195.5034,202.20929,201.93121,216.0303,230.34421,224.6451,234.41249,232.49579,215.1612,168.9408,175.7481,171.9036,171.2808,166.419,171.0798,151.5948,97.554306,100.2834,83.0022,89.8677,72.1947,63.341103,42.7818,22.594799,15.3405,10.7865,1.9644,0.4512,0.2007,0.017700002,0.0204,0.0294,0.0195,0.027600002,0.0234,0.023699999,0.0222,0.028800001,0.035099998,0.032700002,0.0345,0.0345,0.031799998,0.028499998,0.0312,0.0207,0.0186,0.03,0.0321,0.0207,0.0198,0.019199999,0.0186,0.032700002
2022-01-03,0.0165,0.018,0.0204,0.0189,0.0261,0.0174,0.0219,0.0201,0.017700002,0.0132,0.0111,0.013499999,0.015899999,0.0132,0.0018000001,0.013800001,0.0132,0.017700002,0.013800001,0.0141,0.0141,0.0165,0.021000002,0.013800001,0.0261,0.0216,0.025199998,0.0162,0.013499999,0.0141,0.091800004,1.9584,9.0282,19.8612,33.2937,49.692596,70.9368,90.2073,107.743195,121.351204,136.6443,149.9808,164.0973,175.92331,185.7951,197.13629,202.2042,207.2598,208.6965,208.8003,208.0209,205.3425,199.8441,194.6253,187.5864,181.4823,173.9091,163.461,152.0355,136.4802,122.4687,106.635895,86.5299,68.876396,43.928402,25.349102,10.6026,3.8361,0.1707,0.6012,0.1995,0.0195,0.023699999,0.0246,0.0261,0.0219,0.024300002,0.033299997,0.0228,0.023699999,0.0231,0.0258,0.0339,0.0306,0.0222,0.030900002,0.019199999,0.022499999,0.027600002,0.0267,0.022499999,0.0264,0.023699999,0.019199999,0.0201,0.0339
2022-01-04,0.0168,0.0201,0.021000002,0.0231,0.0186,0.017700002,0.0183,0.0216,0.0219,0.024300002,0.0207,0.0339,0.019199999,0.0189,0.0189,0.0189,0.0213,0.021000002,0.0204,0.0156,0.019199999,0.0201,0.024300002,0.0201,0.0246,0.024,0.0291,0.022499999,0.0216,0.0207,0.072,1.1823001,8.5266,18.4512,31.095901,45.1728,74.441696,92.6118,102.0576,112.787094,130.5588,144.41609,163.545,165.91591,180.3819,176.4168,187.0092,194.0088,177.2574,191.52719,196.91971,197.7933,189.3591,182.4354,178.5777,147.3984,144.96811,132.78412,110.66742,97.09865,81.79616,72.71387,73.33089,53.6538,41.786613,30.055029,19.783243,12.284956,5.7196717,1.9089857,0.1074,0.0222,0.0246,0.018,0.025199998,0.0207,0.023699999,0.0294,0.0273,0.024,0.0213,0.0267,0.024,0.025199998,0.0216,0.0231,0.0234,0.0171,0.0198,0.022499999,0.025500001,0.021000002,0.018,0.0282,0.0186,0.0156
2022-01-05,0.0129,0.015899999,0.015899999,0.0207,0.006,0.017700002,0.015,0.018,0.0171,0.017700002,0.0336,0.018,0.017700002,0.0207,0.017700002,0.010500001,0.010500001,0.01055,0.013599999,0.01065,0.0139999995,0.01285,0.0183,0.0297,0.0231,0.0387,0.023699999,0.0165,0.0213,0.0204,0.025500001,0.79349995,3.9285,9.3735,20.808899,38.7129,40.6566,30.2142,61.4946,82.2816,119.88719,130.4979,124.4451,140.2428,153.5331,161.3076,166.6887,171.24841,169.959,168.5967,168.2865,165.687,162.2058,156.5529,151.5309,146.244,133.4529,124.6146,112.157104,99.31711,85.7697,73.2387,61.1334,48.3546,35.6883,24.5703,14.4123,7.0356,1.119,0.60179996,0.3042,0.0411,0.0315,0.0249,0.0267,0.024300002,0.025199998,0.0213,0.024300002,0.0267,0.0228,0.027600002,0.025199998,0.0246,0.0261,0.0207,0.0264,0.0228,0.0219,0.021000002,0.0183,0.021000002,0.0165,0.0231,0.0156,0.017700002
2022-01-06,0.0162,0.010500001,0.0174,0.0204,0.0174,0.013499999,0.0231,0.015899999,0.0129,0.018,0.0201,0.018,0.0228,0.010500001,0.014400001,0.0165,0.0134000005,0.0133,0.013499999,0.0114,0.0156,0.0111,0.015899999,0.014400001,0.021000002,0.0258,0.0201,0.0162,0.022499999,0.024,0.0627,1.6851,7.2353997,15.29718,24.308418,35.143055,49.90979,63.820026,75.48897,87.1171,98.845436,109.00058,118.57341,133.06506,137.98698,149.37363,161.95425,157.9083,165.9483,165.7473,174.1095,162.6141,151.88281,141.87239,127.8723,104.0901,118.7841,113.703,99.3936,94.4223,87.3165,69.6849,55.4775,45.2046,30.428402,29.345701,20.429401,13.5243,5.3424,0.1563,0.1995,0.022499999,0.028800001,0.0213,0.0099,0.0195,0.0174,0.025500001,0.0231,0.0246,0.0273,0.02175,0.0273,0.024300002,0.028499998,0.027600002,0.023699999,0.022499999,0.0246,0.0228,0.0312,0.0204,0.0219,0.0213,0.0216,0.0204
2022-01-07,0.0198,0.022499999,0.019199999,0.0249,0.0183,0.0183,0.0153,0.0183,0.013800001,0.0108,0.0204,0.0186,0.0216,0.021000002,0.0231,0.023699999,0.0336,0.0216,0.016350001,0.023699999,0.0216,0.0198,0.0183,0.0201,0.024300002,0.0273,0.0372,0.023699999,0.017700002,0.0222,0.030900002,0.8628,5.1642,11.5884,19.4145,27.8976,38.7351,50.637302,63.341103,75.0936,86.1696,96.314095,104.945404,118.26871,124.34219,127.4259,130.8606,133.30081,137.21939,139.0983,134.3745,133.7178,132.201,128.77411,125.548805,119.482796,111.5991,102.3579,93.5463,83.1795,72.935104,61.2651,50.7927,41.094902,28.9617,20.1345,12.7986,6.3534,1.8809999,0.55619997,0.2076,0.012,0.0171,0.021000002,0.0264,0.0231,0.018,0.0222,0.031799998,0.019199999,0.0201,0.0213,0.0204,0.0201,0.0183,0.0249,0.0234,0.0183,0.0201,0.0186,0.010500001,0.0156,0.013499999,0.0162,0.013800001,0.010500001
2022-01-08,0.0156,0.0162,0.013499999,0.0165,0.0108,0.0111,0.013800001,0.0258,0.0198,0.0018000001,0.013499999,0.0162,0.0165,0.0156,0.013800001,0.0111,0.013499999,0.013800001,0.0111,0.0168,0.0141,0.0114,0.0231,0.022499999,0.015899999,0.0219,0.0258,0.023699999,0.0234,0.0207,0.0054,2.5802999,9.5274,15.129601,23.763563,38.60933,50.59759,72.36015,74.87452,84.452385,103.13376,106.99692,109.024086,129.99115,134.68591,151.04858,148.10236,146.11792,113.38378,125.26385,128.50691,138.50989,125.14554,101.980515,99.85417,97.29284,105.47481,91.05927,70.73224,64.0342,56.72957,44.705936,39.938698,35.2392,24.416698,17.8116,12.063601,6.5991,1.5846,0.5463,0.3396,0.028499998,0.0312,0.0249,0.030299999,0.033299997,0.0315,0.0273,0.028800001,0.027600002,0.0162,0.019199999,0.0174,0.0162,0.021000002,0.0102,0.0207,0.0123,0.0213,0.017700002,0.010500001,0.0189,0.010500001,0.0132,0.0108,0.0204
2022-01-09,0.0102,0.015899999,0.0234,0.0162,0.0078,0.013499999,0.015899999,0.0261,0.0084,0.010500001,0.0156,0.0132,0.013800001,0.0132,0.0165,0.014400001,0.0162,0.0228,0.0111,0.025500001,0.0129,0.0153,0.027600002,0.0129,0.0141,0.0174,0.0198,0.0174,0.0162,0.0198,0.0846,0.5568,4.9851,10.6701,19.6521,29.317501,41.4114,55.8264,65.6682,80.284805,76.0302,70.7154,100.246796,85.0962,100.57199,110.3619,121.106705,130.0188,126.3255,128.8017,123.0399,131.3259,123.729004,122.929504,106.7229,111.1173,93.0717,84.943504,91.9959,87.243904,63.978,55.559402,40.7028,27.2886,23.8971,16.096199,9.4532995,5.0706,0.7293,0.4488,0.20910001,0.0228,0.0402,0.0279,0.0297,0.0306,0.0186,0.0294,0.0249,0.0216,0.0234,0.02445,0.0258,0.017700002,0.0165,0.0129,0.021000002,0.0198,0.021000002,0.0201,0.0174,0.0198,0.0201,0.015,0.0132,0.0108
2022-01-10,0.0141,0.0156,0.0108,0.0111,0.0108,0.010500001,0.013499999,0.0108,0.0204,0.0111,0.010500001,0.0201,0.010500001,0.0132,0.013800001,0.013499999,0.0114,0.013499999,0.0108,0.0165,0.0111,0.0195,0.0171,0.017700002,0.0207,0.0186,0.0258,0.0198,0.0156,0.018,0.0183,0.3894,2.3322,6.1608,5.9961,5.0499,5.1162,2.9250002,9.1395,18.779482,24.799065,36.980045,44.028927,59.320305,108.602295,144.61768,165.62436,170.99924,178.99103,184.3329,183.7233,179.31,178.26689,176.64749,173.3817,166.2231,159.3882,149.68051,141.0186,126.03151,112.856094,101.05231,87.1881,67.706696,53.341747,37.5584,24.86055,13.9249,5.68865,0.1827,0.47100002,0.106199995,0.0249,0.028499998,0.0189,0.025500001,0.0186,0.0294,0.0207,0.019199999,0.0162,0.01095,0.0174,0.0189,0.0102,0.0198,0.0213,0.0222,0.017700002,0.0222,0.015,0.0111,0.0198,0.013499999,0.013499999,0.0108
