日期,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
2022-01-01,817.016,789.558,808.06,754.332,786.38,711.378,711.364,659.326,694.28,657.108,648.778,643.302,643.882,634.924,633.716,648.292,634.72,640.64,612.452,646.98,612.23,609.588,615.372,625.878,655.366,677.794,736.668,733.276,744.502,779.486,800.44,833.564,882.204,905.658,919.476,919.112,890.612,880.954,741.528,659.93,630.938,603.74,604.21,580.072,693.806,702.718,738.608,738.316,692.856,674.476,664.756,629.796,585.154,611.292,599.23,580.378,586.906,601.628,601.54,607.642,590.046,625.168,639.278,649.52,682.574,670.076,681.144,719.514,757.13,830.658,938.146,957.624,998.344,997.954,1018.314,1038.128,979.18,991.95,916.116,955.398,934.962,930.924,934.758,940.76,982.282,950.378,967.188,871.85,896.31,898.372,880.226,837.3,816.21,765.318,745.374,675.208
2022-01-02,767.928,713.262,675.44,664.62,662.486,623.754,625.224,666.978,627.626,625.722,582.756,604.596,582.288,596.286,572.178,597.986,560.176,552.224,563.728,560.012,547.028,554.558,587.286,547.4,621.798,608.13,668.738,657.448,714.3,685.878,773.196,759.33,807.166,747.044,812.492,835.052,668.94,673.514,605.016,647.322,583.464,588.768,682.692,655.57,730.972,678.692,709.964,684.594,680.934,634.624,671.49,628.42,640.256,636.192,626.194,640.556,609.836,625.904,603.3,648.802,659.352,682.704,665.696,673.128,718.414,750.618,749.656,793.74,862.77,911.196,1031.566,1038.514,1059.43,1050.06,1064.684,1046.122,1088.004,1084.61,991.5,1007.806,994.554,994.234,962.386,994.194,1059.788,1054.582,988.922,986.304,923.85,918.118,830.864,861.626,833.422,819.908,779.982,808.442
2022-01-03,792.752,805.198,759.002,790.028,710.65,697.266,640.906,633.6,638.376,617.898,627.822,602.1,624.25,595.502,628.434,586.868,613.784,568.97,624.824,592.85,579.57,602.618,587.978,633.212,613.25,692.408,667.904,741.642,747.318,800.198,802.886,820.164,784.41,860.668,867.414,654.592,656.122,654.574,693.134,640.82,606.72,556.362,781.748,785.798,815.99,741.464,787.73,780.538,807.936,809.238,755.166,781.676,740.402,673.34,722.886,696.628,669.82,675.926,640.284,653.508,670.536,704.176,669.496,690.396,681.324,720.932,783.966,840.06,853.076,927.942,973.368,1041.658,1058.27,1039.136,1086.748,1049.914,1104.312,1085.156,1062.406,1083.25,1075.768,1051.358,1091.42,1061.206,1102.394,1098.07,1028.856,1056.98,948.88,1010.672,926.332,907.204,818.632,845.306,758.7,766.986
2022-01-04,783.714,783.746,743.266,763.486,722.928,704.77,649.492,632.986,635.848,624.176,653.564,604.378,642.374,613.438,629.158,618.492,639.396,605.178,605.802,607.694,609.744,625.0,622.536,660.66,667.748,737.6,746.266,816.222,884.044,948.458,895.884,908.99,912.244,906.596,794.366,840.72,850.984,800.658,857.472,732.618,613.002,589.706,576.95,592.74,614.764,711.01,724.166,719.932,718.46,715.486,668.596,631.93,631.306,626.636,603.092,595.986,667.062,643.31,658.546,648.776,672.108,663.07,661.302,650.836,687.07,679.712,758.476,815.682,796.716,861.632,949.332,988.868,990.124,991.158,1031.14,1061.36,1009.566,1047.358,994.02,1007.268,1001.388,1006.826,991.044,1022.902,1082.792,1063.348,1022.496,957.506,959.792,962.494,939.774,883.016,911.752,845.368,846.828,772.08
2022-01-05,816.144,741.882,773.276,732.048,695.464,707.712,682.07,711.73,660.722,689.39,663.648,690.128,635.512,638.626,655.18,635.818,679.396,648.378,661.702,640.424,664.856,673.734,670.498,695.212,684.378,756.474,749.55,807.326,848.308,888.272,926.898,911.066,890.148,864.046,874.018,667.086,716.394,678.132,694.474,625.694,622.174,738.814,822.384,768.544,736.746,711.174,721.488,747.942,727.284,706.836,675.732,688.336,655.116,661.076,641.93,655.118,632.642,602.92,614.178,593.892,634.336,613.108,685.218,656.576,686.13,663.552,742.372,719.034,826.622,854.364,902.808,972.94,992.824,1020.52,1048.1,1046.216,1053.142,1050.638,956.554,996.632,1004.988,1040.412,1000.524,1036.17,1055.44,1119.078,1031.61,1000.662,939.606,1014.398,963.546,949.57,848.804,873.748,826.084,812.328
2022-01-06,775.448,803.798,743.508,736.642,750.808,717.392,713.238,702.048,714.408,659.022,702.748,661.158,688.726,645.432,663.382,626.72,643.316,672.15,644.096,683.072,655.49,691.766,686.274,713.024,680.086,790.16,779.466,902.588,918.952,1000.016,977.364,946.614,882.146,929.498,864.484,899.42,806.966,821.46,665.478,621.57,665.638,641.636,643.558,778.296,751.862,674.77,739.592,726.524,715.202,690.724,628.91,647.292,655.266,670.16,636.444,638.136,617.49,630.504,629.46,652.474,622.264,624.062,642.662,669.374,636.068,661.454,658.952,715.618,746.324,851.706,872.82,926.512,925.382,1021.596,1021.098,1032.31,1047.696,1030.138,996.232,997.584,998.556,1012.864,1016.686,984.586,1080.132,1021.612,1027.036,1009.208,954.694,1025.012,948.114,898.804,878.112,826.072,787.67,794.01
2022-01-07,826.492,757.636,793.544,734.718,751.374,721.284,700.11,701.43,690.07,685.96,669.652,704.43,671.85,686.99,653.586,664.558,674.106,662.1,679.954,656.638,687.034,640.156,670.608,681.55,733.734,772.214,777.702,874.342,902.732,988.582,981.214,973.352,936.214,883.472,927.086,710.57,714.318,689.61,723.006,637.674,800.234,806.098,827.97,774.092,765.914,748.942,740.756,728.276,703.392,718.846,695.988,681.198,660.548,673.286,634.946,651.66,646.904,639.45,642.358,654.47,669.19,655.904,660.162,676.38,670.194,668.52,705.654,706.606,787.62,807.634,970.292,948.384,984.826,956.308,966.54,958.742,991.07,986.564,948.836,982.93,954.566,976.482,977.316,1047.956,1061.0,1045.724,987.722,1015.962,960.724,915.97,924.356,928.68,830.276,863.47,763.768,816.274
2022-01-08,774.566,792.084,757.07,724.018,693.622,680.892,677.854,680.07,698.596,664.07,683.518,659.51,665.856,633.83,629.82,634.628,629.904,663.47,627.342,669.176,635.7,645.278,653.08,646.222,658.446,700.968,740.586,761.574,823.014,834.662,878.076,874.802,885.688,884.622,843.168,884.592,866.128,866.042,666.694,596.172,623.346,644.428,665.64,638.48,598.854,733.416,748.354,712.038,727.11,660.122,707.29,656.846,638.852,620.3,615.814,653.208,598.314,604.71,621.518,670.594,664.988,688.002,632.752,705.346,666.806,688.122,719.49,750.648,768.726,854.784,876.248,952.95,977.554,947.904,1009.054,954.004,961.518,976.508,920.878,934.832,995.072,989.138,993.722,923.596,1017.822,979.79,1009.376,922.02,891.316,872.074,910.72,848.34,832.914,756.9,779.592,782.308
2022-01-09,822.26,733.814,748.506,690.9,671.37,666.162,662.68,672.41,631.984,663.586,631.772,646.672,617.212,619.15,618.288,606.994,645.392,626.532,637.034,607.112,635.476,596.264,630.494,610.374,640.56,690.428,708.85,780.616,731.608,782.792,767.524,858.52,906.71,871.548,883.324,853.858,867.498,720.418,709.194,636.53,661.312,653.446,671.48,788.534,850.918,829.466,773.526,767.632,784.584,750.436,756.82,726.21,740.576,696.568,716.526,754.654,698.228,752.39,713.776,730.42,716.026,726.926,707.338,750.032,740.206,789.066,796.276,807.032,859.112,897.32,959.5,1012.504,1034.18,1072.04,1062.624,994.642,1021.09,1036.22,962.47,990.452,997.204,977.29,987.126,951.4,1021.666,972.936,980.752,910.758,888.184,825.236,861.326,808.998,788.82,748.732,755.484,733.072
2022-01-10,773.478,722.13,771.62,714.908,706.98,662.976,657.684,655.162,636.108,664.94,631.526,642.542,608.724,639.262,607.058,608.456,594.624,593.956,624.374,603.278,626.238,617.316,649.856,623.356,703.534,737.206,808.542,823.198,879.566,912.338,908.068,925.94,898.712,885.058,874.67,889.812,844.304,900.85,816.086,776.11,761.424,808.318,811.638,809.67,786.916,590.566,606.156,569.662,569.396,559.188,578.438,496.036,507.126,482.272,603.178,600.938,613.252,582.192,580.904,593.91,592.274,582.61,611.086,610.942,569.46,472.88,559.318,738.916,750.128,797.456,848.1,968.218,998.664,812.296,813.262,808.612,792.458,793.098,755.544,993.632,979.3,994.798,1021.43,999.406,1094.428,1005.408,1000.174,963.882,1017.8,975.25,1018.036,967.734,911.93,878.634,888.14,829.96
2022-01-11,834.454,790.42,770.11,793.562,771.94,724.898,690.796,690.6,676.764,676.76,694.022,654.28,671.758,629.14,671.736,643.064,645.96,651.596,633.864,670.684,646.276,678.188,655.146,684.036,686.022,732.25,821.638,894.226,912.274,948.79,970.058,1004.724,926.828,1009.85,878.052,928.622,833.734,891.13,826.526,801.564,757.756,773.652,813.91,740.076,742.268,682.394,686.442,708.694,692.434,704.168,702.174,670.052,596.628,616.312,619.006,634.632,624.116,624.168,614.25,680.33,622.778,660.064,649.366,683.782,669.214,678.132,672.41,749.914,813.724,644.596,917.61,934.86,1010.588,1021.112,1035.59,1023.84,1044.384,1007.168,1014.17,1014.646,1014.912,976.93,1026.774,1052.5,1128.962,1153.12,1071.926,804.124,825.02,802.546,788.652,767.508,681.988,672.104,672.218,642.606
2022-01-12,741.712,768.798,797.336,750.158,766.976,693.048,669.546,670.892,658.766,691.338,651.498,670.88,649.302,641.912,667.65,646.04,659.238,635.998,608.928,648.442,633.268,668.76,648.846,699.532,694.32,725.264,750.88,796.766,814.04,899.354,832.52,893.484,868.86,870.852,872.036,907.708,894.076,913.916,884.846,851.418,834.22,865.854,863.358,891.65,828.086,848.218,812.862,818.122,807.872,781.752,744.486,710.33,697.404,681.976,721.942,665.268,720.88,693.558,672.914,671.016,675.764,674.822,701.812,647.326,662.03,670.688,730.714,749.28,785.674,855.634,932.97,1013.818,946.558,877.594,778.544,810.122,795.166,809.8,753.296,779.436,953.972,989.352,970.336,1015.59,1085.312,1006.302,1036.524,1005.946,1004.35,950.98,1005.83,952.03,909.932,880.358,847.774,800.61
2022-01-13,768.368,705.244,705.028,712.368,664.728,673.0,624.664,625.988,610.356,607.914,648.816,603.738,625.872,597.728,578.974,566.006,570.834,599.164,567.612,597.944,563.63,567.346,562.36,579.326,624.416,630.488,713.13,718.088,793.438,785.554,793.572,751.226,803.9,729.232,780.664,760.968,765.514,770.49,719.318,669.616,648.324,675.69,659.564,678.992,639.262,631.848,629.426,607.596,629.906,594.552,587.556,536.786,555.744,521.524,544.384,534.61,538.124,553.274,531.798,569.054,561.678,597.128,578.236,594.146,609.204,640.946,637.27,673.594,786.122,811.274,897.068,936.166,982.01,759.96,727.508,945.952,953.572,976.804,895.046,930.204,925.216,966.936,937.164,942.964,988.402,989.716,908.13,965.342,874.864,906.794,878.522,864.59,833.1,847.384,755.086,768.026
2022-01-14,834.006,834.328,800.22,820.534,737.606,702.326,684.944,689.438,707.43,654.126,695.708,659.406,657.152,656.42,654.138,674.046,668.586,692.266,664.438,645.696,661.832,656.838,683.982,656.708,693.926,730.868,786.898,788.732,874.644,883.52,902.168,906.306,922.318,897.782,905.006,865.804,901.934,909.372,881.474,842.434,808.342,839.36,859.188,826.488,780.98,752.79,735.922,755.102,713.916,735.698,685.676,671.398,635.728,611.888,604.5,583.23,633.904,619.076,689.444,648.734,629.562,688.056,665.012,678.824,699.624,699.822,734.202,815.426,795.95,848.038,882.592,919.102,964.8,974.006,794.292,764.446,787.322,744.956,732.204,962.268,992.126,992.928,980.518,973.196,1032.208,1060.242,1036.71,1102.1,1047.506,1025.002,1023.622,996.33,933.98,911.156,836.22,867.542
2022-01-15,819.64,809.108,775.818,782.688,788.512,703.096,729.072,679.988,710.09,692.668,669.058,663.896,651.982,697.08,649.008,688.044,632.486,646.446,635.506,638.392,658.98,636.894,677.236,651.468,674.04,700.384,717.844,781.414,798.608,861.096,822.638,882.516,906.436,891.196,951.606,930.194,908.264,915.742,938.318,858.198,811.676,828.532,822.668,792.79,777.946,590.658,589.648,593.864,564.596,614.066,572.902,576.382,716.81,647.492,635.342,616.33,627.202,617.04,614.016,663.118,630.088,622.92,634.446,656.606,661.268,734.678,748.438,778.01,812.488,859.338,923.862,1006.822,997.87,1013.922,1025.69,1042.546,982.334,1056.234,977.948,969.982,1010.884,999.71,973.894,966.53,1036.026,962.79,958.254,968.772,1005.744,939.006,985.482,930.026,897.852,860.094,845.866,827.748
2022-01-16,837.202,764.684,734.984,738.546,747.146,686.694,682.748,697.544,651.02,676.444,635.212,678.49,652.346,632.968,634.702,622.656,646.676,594.228,656.714,610.63,652.548,631.888,636.444,619.496,658.048,702.944,678.898,779.112,797.888,811.29,823.144,868.06,836.892,903.118,889.516,925.886,911.64,919.502,893.506,789.948,810.26,809.766,814.178,776.79,788.508,780.254,780.156,799.814,786.78,765.592,709.456,689.134,686.328,684.86,685.646,622.564,642.934,485.718,552.732,545.328,528.61,523.96,514.348,566.088,564.388,761.484,814.176,798.688,802.6,851.556,949.23,999.896,1030.53,1018.698,1057.244,1023.756,1038.448,1062.794,985.97,1004.192,1023.328,1018.54,1004.15,989.316,1056.444,1069.044,1003.474,1023.89,982.178,956.03,971.716,923.534,884.134,845.208,830.144,813.524
2022-01-17,802.28,816.15,763.574,795.27,738.218,672.15,671.524,643.014,692.294,644.26,673.844,629.926,639.486,631.272,628.538,657.708,624.602,658.492,612.282,615.216,623.84,629.636,674.508,641.702,696.014,695.52,760.582,774.8,828.186,822.646,880.754,884.202,875.274,858.822,830.424,822.536,814.106,775.54,782.196,786.518,742.686,708.32,719.732,699.962,689.542,717.296,694.096,725.51,692.87,629.738,621.368,616.96,612.394,605.892,587.544,579.696,545.556,574.64,556.14,609.502,538.116,490.96,449.458,496.672,513.68,513.87,519.108,510.796,729.574,763.362,875.204,908.822,964.762,926.85,984.274,944.54,984.168,938.408,922.796,944.774,956.786,966.306,1002.01,994.02,1034.378,1081.042,1023.796,1021.106,951.184,960.436,955.544,948.784,877.478,873.008,832.344,788.448
2022-01-18,783.906,822.782,745.082,728.428,720.956,677.956,680.36,648.416,674.784,629.99,616.61,604.898,607.084,643.456,594.052,640.012,594.21,599.57,627.03,596.56,646.77,595.458,657.522,629.984,613.476,672.764,702.584,792.15,805.224,890.262,821.81,819.386,872.518,868.162,910.038,841.766,833.446,808.328,809.978,708.33,643.178,640.718,638.218,727.224,665.286,673.3,660.802,688.748,644.194,686.89,617.144,603.48,597.736,560.474,577.862,547.124,540.93,562.65,559.392,563.256,584.138,606.618,473.38,515.244,524.544,513.476,523.204,563.756,575.198,640.564,854.44,917.592,934.768,998.386,988.376,996.916,1014.33,991.2,962.772,960.422,991.276,967.792,1022.466,1011.816,1092.138,1131.02,1119.316,1047.296,1054.388,960.844,911.29,888.47,863.908,776.42,772.852,724.008
2022-01-19,774.308,742.886,737.816,690.52,681.756,635.24,596.212,624.692,588.942,627.652,590.448,581.756,571.826,592.67,590.154,566.856,615.1,545.706,573.748,566.66,573.92,583.07,588.88,617.736,613.644,672.622,673.39,729.206,798.332,863.042,800.066,832.484,793.936,837.694,822.994,851.536,838.692,803.014,861.128,793.002,842.764,815.372,843.594,843.978,863.124,807.482,664.128,880.312,866.724,896.774,839.254,822.264,760.402,783.636,750.116,784.96,766.274,797.64,782.998,815.79,764.766,658.804,675.02,685.634,843.038,834.74,836.6,906.346,906.616,934.128,972.714,999.542,1108.328,1093.834,1124.594,1118.2,1101.92,1061.604,1046.58,1061.286,1051.202,1087.422,1033.216,1090.7,1129.818,1121.956,1048.66,1070.34,978.2,988.718,892.822,911.992,844.876,822.066,763.748,729.498
2022-01-20,739.204,704.482,679.832,674.472,709.378,678.576,668.686,636.54,658.278,620.768,601.43,615.96,602.314,627.858,600.226,620.286,578.464,584.238,592.354,595.204,606.764,590.692,636.458,640.756,673.032,688.57,755.812,761.208,805.85,805.168,846.112,827.814,897.472,822.228,927.258,862.814,888.852,926.626,899.52,854.572,860.466,863.042,871.052,857.144,838.438,825.346,868.486,871.132,857.948,786.642,733.198,565.088,623.656,610.506,592.982,757.892,728.72,731.364,754.958,752.12,807.654,776.374,808.346,814.776,803.418,841.172,819.322,877.924,903.526,910.73,958.526,1014.418,1024.268,1013.47,1012.646,1015.736,1036.41,1045.27,1040.164,996.614,1018.304,1003.226,1039.862,1009.898,1128.69,1068.254,1046.59,1005.764,1006.664,909.58,965.88,879.256,806.28,793.976,811.356,761.11
2022-01-21,827.234,773.922,770.42,733.18,736.298,665.192,644.644,649.716,642.39,647.168,616.772,665.11,620.266,651.266,612.946,613.432,615.696,614.132,616.442,608.904,637.512,611.51,643.294,635.084,644.332,694.696,732.918,749.242,797.912,837.016,840.466,853.748,881.992,882.48,890.772,889.62,935.174,873.554,932.234,830.432,835.376,856.018,826.028,882.918,806.15,840.952,864.414,897.034,863.934,849.804,808.242,857.72,861.086,813.55,838.266,807.306,746.48,767.35,664.438,636.538,671.994,680.066,842.288,814.784,810.452,811.076,853.442,888.862,943.536,919.686,959.778,976.426,1006.394,1034.786,1031.784,1067.182,1045.286,1038.672,981.324,989.268,982.99,995.388,997.15,1007.568,1101.528,1076.142,1067.164,990.44,1017.702,949.774,968.932,875.318,860.322,775.84,826.796,751.944
