日期,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
2022-01-01,27.047800000000002,29.964599999999997,29.6025,29.1199,28.818,28.6241,28.4486,26.9985,33.8258,30.2667,30.226,30.2162,30.201700000000002,30.249000000000002,30.1847,30.124499999999998,30.2159,28.5278,26.445700000000002,26.5447,26.4267,26.5072,26.4761,26.5895,26.4413,26.4625,19.8613,20.0006,19.88,20.0075,19.8918,6.702700000000001,6.654,6.6739999999999995,6.7288,6.6546,6.6918,0.0137,0.014,0.0138,0.0136,0.0137,0.0141,0.0149,0.0148,0.0152,0.0153,6.5799,6.6161,6.543699999999999,6.5565,6.599799999999999,6.5643,6.7495,0.0152,0.0154,0.015,0.015000000000000001,7.0328,7.0289,3.27711,2.39222,2.04313,1.75544,1.62665,1.41526,1.30317,0.01428,0.0140899999999999,0.0142,0.0138,0.0141,3.7237999999999998,3.7188,0.0154,0.0252,0.024800000000000003,0.0252,0.0248,0.024300000000000002,0.0252,0.0348,0.0344,0.0353,0.0346,0.0346,0.034199999999999994,7.0952,13.7225,30.4943,30.5754,30.5816,31.0577,30.5033,30.2555,29.9618
2022-01-02,28.8733,35.592999999999996,35.5744,35.6106,35.5513,35.5569,35.6081,35.5642,34.1982,34.1978,34.2161,33.8829,30.6723,30.4658,30.593,30.6192,30.497999999999998,29.4142,26.9027,26.982,20.1822,20.1291,13.6448,13.5978,13.6643,13.694700000000001,13.7117,7.1465,7.1833,7.1513,7.186100000000001,7.2044999999999995,0.0174,0.014,0.0141,0.0141,0.014,0.014,0.010100000000000001,0.0101,0.0119,0.0117,0.0119,0.0118,0.0119,0.0116,6.9998,7.0028999999999995,9.238,8.8022,8.3674,8.229099999999999,8.075199999999999,7.8609,0.0106,0.0102,0.0107,0.010499999999999999,0.010499999999999999,0.010700000000000001,0.0117,0.0118,0.0054,0.0055,0.0055,3.7185,3.7074000000000003,3.7039,0.0055,0.0055,0.0055,0.0059,0.0054,0.0054,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0054,6.5676499999999995,6.534599999999999,6.533399999999999,6.5222,6.7251,6.469799999999999,6.5491,13.4725,31.3809,31.4538,35.2196,35.2006,35.028999999999996,35.004,41.6352
2022-01-03,28.2837,41.5326,41.4684,41.5191,41.4994,41.5081,41.6302,41.6214,41.5506,41.434200000000004,38.693799999999996,38.2327,30.1708,30.209,30.1874,30.1817,30.0745,27.4342,26.485599999999998,19.8973,19.6936,19.799799999999998,19.8628,19.777,13.233799999999999,13.3158,13.339500000000001,13.3492,6.817,6.6201,6.6204,6.5926,6.632,0.0055,0.0055,0.0054,0.0054,0.0055,0.0054,0.0054,6.6901,6.6246,6.652299999999999,6.6479,6.6402,6.6379,0.0054,0.0054,0.0056,0.0053,0.0054,0.0055,0.0054,0.0053,0.0055,0.0055,0.0053,0.0055,0.0055,0.0055,0.0053,0.0056,0.0055,0.0055,0.0053,0.0054,0.0055,0.0054,0.0054,0.0054,3.7252,3.7156,0.0055,0.0054,0.0055,0.0054,0.0054,0.0055,0.0054,0.0055,13.5704,13.5544,13.769400000000001,13.5367,13.502600000000001,9.4795,8.8457,8.512,21.509700000000002,24.9189,24.7862,27.2555,33.8183,33.9226,33.9172,44.9567
2022-01-04,31.7866,31.878999999999998,31.909,45.1006,45.0618,45.0067,38.406400000000005,38.48995,38.3154,38.4307,38.5301,38.5891,38.413399999999996,38.4828,38.395,38.4929,38.4089,34.8553,21.872799999999998,22.0003,21.977,15.3181,13.2232,6.493600000000001,6.4361,6.467499999999999,6.4780999999999995,6.4002,0.0193,0.018099999999999998,0.0188,0.0187,0.0156,0.0156,0.0156,0.0158,0.011800000000000001,0.0118,0.011800000000000001,0.011800000000000001,0.0118,0.0117,0.012,0.0118,0.0119,0.0118,0.0116,6.6169,13.289200000000001,13.299299999999999,13.3463,13.342400000000001,13.2552,13.431899999999999,13.3662,13.294899999999998,0.0119,0.0117,0.012,0.0121,0.012,0.0115,0.012199999999999999,0.0121,0.012,0.0117,0.012,0.012,0.011800000000000001,0.0118,0.0183,3.5202,3.5051,7.2198,3.5187999999999997,3.5276,3.503,3.5156,3.5322,3.5134000000000003,3.4986,3.50895,3.5197,3.5136,3.5368000000000004,3.5258,10.5688,10.598099999999999,23.8854,30.3696,30.4116,34.2343,36.6676,36.042699999999996,35.887,35.365
2022-01-05,29.0596,41.9133,40.5821,40.7015,37.124,37.118700000000004,37.0928,37.1932,37.189099999999996,37.2743,30.6226,30.6672,23.8862,24.0016,23.9826,23.9739,23.9678,21.6681,13.5787,13.5349,13.6219,13.590800000000002,7.1066,7.0892,7.1565,7.19796,7.189020000000001,7.20828,7.233140000000001,7.2277000000000005,7.1732000000000005,7.165299999999999,0.0165,0.0117,0.012,0.012199999999999999,0.012,0.011800000000000001,0.0119,0.012,0.011800000000000001,0.0119,0.012199999999999999,0.011800000000000001,0.0115,6.6903999999999995,6.610499999999999,6.6239,6.698,6.6782,0.0117,0.0121,0.0118,0.012,0.012199999999999999,0.0119,0.011800000000000001,0.012199999999999999,0.0121,0.0121,0.0121,0.0119,0.0117,0.0121,0.012,0.0117,0.0121,0.012,6.6042,6.6491999999999996,6.6528,6.6243,10.380700000000001,10.3294,6.6137999999999995,0.0121,0.012,0.011800000000000001,0.012199999999999999,0.012,0.0117,0.01185,0.012,0.0222,0.021900000000000003,0.0222,13.724,13.7066,13.7436,13.7512,13.7398,14.1297,19.2263,18.9388,18.7488,18.4954
2022-01-06,18.25,24.811700000000002,34.9792,35.0312,34.8273,34.853300000000004,34.9557,34.9053,35.0115,34.9393,34.9894,34.9106,34.9256,34.798,34.9229,34.8943,34.8226,32.0796,31.142200000000003,29.765,21.2606,13.1822,13.199399999999999,6.5316,0.0148,0.0143,0.014700000000000001,0.0146,0.014499999999999999,0.0146,0.014,0.012199999999999999,0.012,0.0117,0.012,0.011800000000000001,0.0115,0.0121,0.0121,0.0116,0.0116,0.0119,0.0119,0.0116,0.011800000000000001,0.012,0.0121,0.012,0.0175,6.5831,6.7312,0.012,0.0117,0.012199999999999999,0.0121,0.011800000000000001,0.0117,0.0121,0.0121,0.012,0.012,0.0119,0.0118,0.0121,0.012,0.0116,6.6625,6.6387,6.6975,6.6198,0.012199999999999999,0.0119,0.012199999999999999,3.7194999999999996,0.012199999999999999,0.011800000000000001,0.0121,0.7400666666666667,1.4685333333333332,2.1965000000000003,2.9239666666666664,3.657333333333333,4.3904,5.118666666666666,5.846233333333333,6.5806,6.5664,6.770200000000001,6.5689,13.5963,13.636399999999998,17.5089,23.7191,23.0419,19.336100000000002,18.9262
2022-01-07,25.9987,32.3257,32.0784,31.9427,30.6312,37.1989,37.277100000000004,37.2408,37.2456,37.3213,37.2627,37.3461,37.2472,37.3917,37.3577,37.2612,37.2563,34.5492,33.5104,33.5148,26.3623,26.3964,26.4008,26.4347,19.6955,19.8627,19.8644,13.293199999999999,6.826200000000001,6.7486,6.7206,6.5994,6.5088,6.4469,0.011800000000000001,0.012400000000000001,0.0117,0.0121,0.011800000000000001,0.012,0.0117,0.0121,0.0117,0.0115,0.0121,0.0115,6.6997,6.69,6.7078,6.7417,6.6255999999999995,6.7143999999999995,6.6892,6.614,6.6387,0.012,0.0114,0.0119,0.012,0.012199999999999999,0.011800000000000001,0.0119,0.012,0.0119,0.0116,0.012199999999999999,0.0121,0.0115,0.0121,0.011800000000000001,0.0121,0.0117,0.021500000000000002,0.0217,3.7314,0.0217,0.0218,0.0213,0.021500000000000002,0.0216,0.0218,0.0218,0.0214,0.021500000000000002,0.0215,0.0214,6.5851,6.5760000000000005,6.5714999999999995,6.5713,6.5869,10.4309,30.4784,33.9872,34.0682,34.1032
2022-01-08,37.4103,41.245,40.8117,40.5699,40.2626,39.9569,39.8337,38.5078,38.5442,38.4714,38.5181,38.4888,38.4378,38.4937,38.4999,38.3766,38.289,35.9795,23.4253,23.3381,16.7609,15.2413,8.8755,8.8076,8.8861,8.855,6.6141000000000005,6.6095999999999995,6.714,0.0141,0.0143,0.010700000000000001,0.010700000000000001,0.009899999999999999,0.0103,0.0117,0.0117,0.0117,0.011800000000000001,0.0116,0.0119,0.0118,0.0115,0.0117,0.0119,0.011800000000000001,0.0117,6.7138,6.7439,6.5366,6.744599999999999,0.0116,0.0116666666666666,0.0118333333333333,0.0119,0.0117857142857142,0.011871428571428502,0.0115571428571428,0.0116428571428571,0.0117285714285714,0.0118142857142857,0.011800000000000001,0.012,0.011800000000000001,0.0117,0.0115,0.011699999999999999,7.0168,6.9782,7.0427,3.1336999999999997,2.6419,2.1811000000000003,8.479099999999999,8.261700000000001,8.046100000000001,6.6693999999999996,0.0102,0.0106,0.0107,0.010499999999999999,0.0104499999999999,0.0104,0.0106,0.01,0.010100000000000001,0.0104,0.0105,13.4651,28.2847,28.3519,28.345,28.3566,28.1926,28.221,28.243
2022-01-09,21.511400000000002,28.0708,28.0798,28.057,28.017,28.088,28.0657,28.051000000000002,28.035600000000002,28.0974,28.2011,24.6781,24.6054,21.8689,21.3791,13.193999999999999,13.1665,13.1113,13.200600000000001,13.1729,13.146799999999999,13.2311,13.14,13.1774,13.1919,6.5366,6.5572,6.6055,6.587,6.586899999999999,0.011800000000000001,0.0116,0.0117,0.0116,0.012,0.0117,0.0117,0.011699999999999999,0.0115,0.0117,0.0119,0.0117,0.0116,0.0119,0.011800000000000001,0.011800000000000001,0.0117,0.0118,6.5458,6.5466,6.5385,6.5490571428571425,0.0119142857142857,0.011971428571428501,0.0116285714285714,0.0116857142857142,0.0117428571428571,0.0115,0.0116,0.0116,6.9815,6.966,6.9289000000000005,6.9516,3.4847,2.5839999999999996,2.1477,1.7565000000000002,1.54,0.0117,0.011800000000000001,0.0116,0.0115,0.0119,3.7167999999999997,3.7117999999999998,0.011800000000000001,3.5047,3.4983999999999997,3.5104,3.525,7.0497000000000005,10.5744,10.543600000000001,10.524600000000001,7.3167,12.937100000000001,12.262,11.8081,11.549299999999999,16.8935,20.6351,20.5299,20.4354,20.4786,20.5508
2022-01-10,13.7997,20.2896,20.3729,20.4064,20.379399999999997,20.3869,20.4419,20.4234,20.3629,16.8403,16.9249,16.9259,16.9248,16.883,16.9302,16.903,16.8504,14.254999999999999,13.1203,13.102,13.133000000000001,13.07115,13.103000000000002,13.0718,13.2013,6.6259,6.6579999999999995,6.6524,0.0088,0.0094,0.0054,0.0054,0.0054,0.008400000000000001,0.0054,0.0055,0.0055,0.0054,0.0055,0.0055,0.0055,0.0054,0.0055,0.0054,0.0054,0.0055,0.0054,0.0054,0.0054,6.593699999999999,6.5969999999999995,6.5552,6.5390999999999995,6.7269,0.0055,0.0054,0.0054,0.0055,0.0053,0.0054,0.0054,0.0055,0.0054,0.0053,0.0053,0.0054,0.0054,0.0053,0.0053,0.0054,0.0053,0.0053,0.0053,0.0056,0.0054,0.0055,0.0055,0.0054,0.0056,0.0054,0.0054,0.00545,0.0055,7.0014,7.0378,7.018,6.9940999999999995,13.679400000000001,16.393,26.092,32.0674,31.8746,31.3191,31.0775,29.7886,29.8302
