日期,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
2022-01-01,58.86721,56.115345,57.624363,58.893906,51.6167,50.227024,54.51739,50.932476,45.892185,46.690502,41.43347,38.501266,37.13345,30.170294,28.93057,30.108328,28.70252,30.905157,28.669687,27.676489,32.18482,27.503733,25.331816,20.251358,18.459625,16.619738,13.626824,13.353584,10.790814,8.616816,5.867076,4.1171255,2.0639336,1.1753407,1.1349204,1.035014,1.1747777,1.1806362,1.6546501,2.541744,3.5214865,4.223882,5.005556,6.2682414,7.4118943,9.665324,12.109104,15.702171,16.301643,14.60967,17.068647,17.00435,17.427765,19.9053,21.691748,22.585619,20.711267,21.492413,22.346067,23.116814,20.792795,20.087938,17.26291,14.824962,13.787457,11.4570265,8.667266,8.038493,7.389423,7.0945883,8.121987,9.89675,10.427894,12.857487,10.599936,13.064233,11.508642,10.044649,9.405092,8.055511,9.583929,10.891073,12.539834,11.664695,11.668792,11.998723,13.300888,13.390809,13.366953,14.830713,14.759145,15.396857,13.455399,13.121648,12.505002,11.381034
2022-01-02,8.606956,8.623803,8.413525,7.9882445,6.8105693,6.344408,5.4363,4.5225234,4.1470184,3.9181921,3.821234,2.9260917,2.3957224,2.2223094,2.5777185,4.234395,5.874633,8.5828285,8.621276,9.457235,9.429552,8.8403425,10.17855,9.924794,9.777459,8.473361,9.184569,7.27635,7.5626726,7.239292,4.9484854,4.119397,3.5358953,2.6028903,1.7715094,1.5646464,1.0646573,0.5527604,0.16583958,0.0935271,0.086150266,0.08589467,0.0861894,0.08675697,0.08745116,0.087989844,0.08810732,0.087659724,0.0928799,0.18953286,0.5619442,1.5297562,3.0092783,3.9371972,5.640995,7.050704,6.2187433,6.6245437,5.6730003,4.474123,2.67645,1.4521636,0.6185901,0.1829549,0.09873235,0.09302701,0.09246003,0.091771096,0.09125796,0.09392695,0.13571386,0.34589937,0.78317285,1.4829813,2.218496,2.9015121,4.422019,4.81676,4.5485635,4.762997,3.5942118,2.8991952,1.9101328,1.1363974,1.2272158,2.0515916,4.2909856,7.850011,10.335984,14.211807,19.240705,24.28766,29.86194,34.6265,37.422085,39.911064
2022-01-03,41.57858,44.49312,39.363163,45.21305,39.063984,34.68637,33.337105,35.54198,32.7653,32.857082,30.12984,26.716389,22.76299,18.35449,15.687225,13.576631,10.622988,8.2607765,8.827795,9.4108,8.464726,7.7414403,5.969238,3.8794792,2.631722,1.9315532,2.820546,4.5790296,5.2665253,5.922442,6.0256987,4.6684394,2.8478422,1.6151564,0.69842035,0.59551543,0.58585405,0.58130234,0.59020716,0.8293551,1.0518498,1.2486246,1.2265575,1.1836131,1.0650194,0.5080324,0.37245545,0.2811244,0.29960954,0.32885876,0.31032324,0.2897559,0.2967053,0.32647488,0.366937,0.7904546,1.7319487,2.8243642,4.377951,4.357485,3.4469702,3.412913,3.1363697,4.661968,6.9822745,11.014914,14.82488,17.296906,15.910755,16.193188,14.540777,12.536985,12.537614,10.149014,8.042555,8.396894,8.841561,8.578721,7.616665,8.435725,9.896954,9.737264,11.758647,13.456924,13.650603,16.156767,14.43003,18.572279,21.89797,23.442583,31.91051,30.127602,35.507748,39.59382,44.74024,38.34059
2022-01-04,35.50274,33.568317,32.144836,35.709827,35.093082,32.531864,32.52236,30.228523,29.76963,29.6795,30.784111,25.948914,31.643848,24.883184,28.220867,29.892075,29.777266,28.561565,29.564909,29.045368,28.320671,29.24685,25.97879,21.701982,20.532425,16.215477,12.92686,9.307198,5.525147,3.0130315,1.458576,1.2148716,2.4304602,4.397144,6.645234,7.176577,8.194828,7.4294605,6.559291,6.3125668,5.8916736,5.8154826,5.9585924,5.526415,5.7498364,5.433092,5.6621714,5.527894,5.617316,5.7948155,5.2935066,6.1100345,4.7832103,4.1300235,3.813966,2.8924532,2.4379294,2.4090092,2.6221845,3.0070572,3.7039087,3.7578096,4.194954,3.9330199,3.7739651,3.9255166,4.2795043,4.4558563,5.0064483,6.1905046,7.2581315,7.9679117,8.793504,9.796886,9.2169485,9.411024,9.870765,10.19901,10.540681,11.272431,10.860479,10.066612,9.746266,8.616639,8.578956,8.212294,8.966356,9.326081,11.5857,14.530563,16.01535,19.427017,22.221268,22.624535,24.761084,24.881325
2022-01-05,15.870352,15.112341,16.07052,16.382967,15.907706,13.354767,12.097147,8.6515255,8.035016,6.6522937,7.011298,5.958695,6.1679263,6.7312293,6.667297,7.7702785,7.763867,8.319295,8.583612,9.47666,9.03598,8.236748,7.9428377,8.226963,6.701601,7.0016994,5.56907,4.043062,2.9281595,2.7751265,2.0283456,1.7219516,1.0193894,0.6869533,0.5245211,0.7598737,1.4038488,2.3486943,2.8473432,3.6838522,4.023402,3.7616408,3.1517334,2.4359016,2.2306294,2.3691459,1.9589578,1.6518967,1.4876697,0.84248304,0.85089207,1.4538144,2.7385185,3.8610852,4.432919,5.557907,5.7966576,6.1133895,5.3634286,6.165073,6.9516807,6.8593626,8.675907,9.819311,12.480163,13.940139,14.179841,11.765368,10.874846,7.1960125,5.158564,3.908217,2.4963005,1.2465006,0.41493544,0.1765311,0.19030415,0.66454625,1.6926365,2.8550725,4.3300595,5.468416,6.834861,7.726104,7.038078,8.214277,9.024641,10.928918,13.662871,14.785685,16.972406,17.373583,21.39033,19.465149,19.062918,20.453403
2022-01-06,18.485287,18.755266,20.506996,21.50293,19.961744,19.268179,18.625162,15.231126,14.857378,16.323896,15.078392,12.4094,12.523355,12.299987,14.806121,14.377444,14.355562,14.104948,13.659901,15.113794,13.326174,11.095699,9.36574,6.5637217,4.9760547,3.031351,1.9540147,1.527746,1.1133869,0.78186756,0.49029765,0.21471792,0.12829609,0.1827242,0.48946208,1.1867342,2.469452,3.7767622,3.7696936,4.258922,3.2717588,2.290679,1.2544488,0.47767767,0.1601743,0.09291235,0.08881612,0.090107866,0.097468995,0.17099497,0.6100974,1.5740784,2.854452,4.049688,5.4177237,7.0580196,8.207535,9.111654,11.535491,13.646275,12.9899025,15.666494,14.473983,15.3322315,14.079793,13.14447,13.226711,14.289596,13.572017,11.810347,12.568801,10.916311,12.497411,12.472343,13.7867565,14.868675,14.43897,15.358083,16.891123,15.360829,16.913162,15.497991,17.776001,19.238928,14.937668,15.852655,16.124813,14.658953,15.152147,15.467611,18.363369,20.293892,24.064358,24.870556,26.598745,26.170605
2022-01-07,27.039019,27.136051,28.524385,27.16639,28.34994,31.182678,28.376688,24.517683,23.761969,18.646183,13.757051,11.083605,7.5022397,5.714602,3.4342396,1.6960567,0.7254551,0.5417628,0.5623519,0.46390384,0.5443317,0.5848642,0.59873766,0.8744252,0.9364234,0.91814137,0.9589827,0.941332,0.69839925,0.7067938,0.8203836,0.8952739,1.0158731,0.955659,1.2314836,1.78298,2.9997027,4.5341973,6.6187677,7.5728455,8.827787,9.471356,11.023247,12.852308,14.233084,13.46955,14.975865,14.416802,12.1002245,11.383481,8.561779,7.4555926,6.6253314,7.522969,6.4301023,5.1620865,4.0195932,2.4871123,1.8148263,0.89287746,0.5129668,0.35404027,0.2784032,0.28372866,0.5282506,1.3134644,2.5534458,3.6839623,5.0437865,5.7330856,7.0559306,9.575135,12.415905,16.49745,16.54257,22.39766,21.330887,21.086445,19.758175,17.88016,19.064363,16.30791,13.143321,11.527043,11.403312,13.349627,14.007162,16.205618,21.782322,26.353558,26.873901,36.967087,40.55028,46.221035,51.91612,51.027313
2022-01-08,31.929085,30.778429,39.117214,34.989906,35.2495,34.721485,33.813126,30.979765,27.959297,26.059586,24.945784,22.384497,20.542137,19.46629,16.19521,14.872599,9.85146,11.240979,10.414006,7.9911294,8.544554,7.9969826,6.8656297,6.7587085,6.5060415,7.665963,7.308085,7.3586116,6.703092,5.099929,4.056905,2.9243267,1.4470938,0.6378309,0.20072377,0.12431782,0.16890235,0.3818098,0.83976495,1.6154252,2.0570204,2.9742267,3.4763978,3.3529284,3.091793,2.2419057,1.8309824,1.0276892,0.4781806,0.23911662,0.13414966,0.108247586,0.10300751,0.11592383,0.10242578,0.12218521,0.096902125,0.122837864,0.11371876,0.1123744,0.10965844,0.11561408,0.11212347,0.119548656,0.11264996,0.1130963,0.11039961,0.11314564,0.1161716,0.10285582,0.11100578,0.21182314,0.6382438,1.6782846,3.4520636,5.9736447,8.267098,10.457646,12.922286,13.097982,14.839659,13.313495,16.103466,15.872774,15.577917,15.529424,15.229952,14.253484,11.860478,12.492391,13.6518135,14.852235,15.454621,14.249799,15.009012,14.160673
2022-01-09,14.487932,13.531984,13.560383,12.665831,12.275267,13.047761,10.859152,12.516494,10.444176,9.590685,8.49313,9.024022,8.219461,8.490722,9.703851,8.444287,9.2429695,8.375589,8.741267,9.648898,8.207533,8.7469015,6.9537177,4.9685626,3.692044,2.1686082,0.9603055,0.40426716,0.36215898,0.4838119,0.7419793,1.0338101,1.1262428,1.099365,1.5383935,2.2891953,3.2596636,4.447292,5.4097204,5.9391866,5.835303,5.13401,5.753191,5.6482897,5.660847,5.1587014,5.307486,6.414219,6.7737975,7.9896264,8.389918,8.769393,9.211501,8.002989,7.7174535,7.0677433,6.9248924,6.8772497,6.679258,5.4562907,4.627523,2.760563,1.5823737,0.61247724,0.31749007,0.6502634,1.7740163,2.804055,4.587181,6.1493435,6.863577,7.7719193,7.1085105,7.5290923,7.153854,5.4204144,4.577848,4.3144765,4.135139,3.952772,4.3379674,4.5935655,4.3465257,4.3333545,4.160231,4.9642963,7.975346,12.780491,19.810946,22.414803,30.283659,30.689991,31.275928,31.640718,27.16886,28.805565
2022-01-10,14.438478,14.680946,14.316095,15.621197,12.468312,11.86282,11.136088,10.6705265,10.34611,11.420548,11.212681,8.871126,7.0928745,5.7374916,3.4940732,1.9596967,0.9782874,0.5894128,0.7473236,1.2023277,1.6119251,2.1024084,2.3660276,2.2265556,1.8686543,1.5171703,1.0434507,0.9704927,0.9644038,0.9301314,0.79796845,0.6752916,0.41524264,0.33352938,0.30705768,0.3303087,0.3638167,0.31899244,0.337823,0.38945508,0.41160765,0.54231185,0.6513471,0.6791119,0.7727998,1.181,2.0682614,3.2251823,4.722224,6.170733,7.337588,7.4955926,7.228779,7.3711095,7.8315825,6.9400983,7.4552245,7.121719,7.3105783,7.8611383,7.383522,7.3105183,6.6152015,7.0697155,5.980936,4.9750214,2.923623,1.6660712,0.7855769,0.8453185,1.4683534,2.5626202,4.0804896,5.8642573,7.4178877,9.083971,10.54121,9.687967,10.289618,9.706903,11.166118,9.649767,10.270197,10.806537,11.607318,11.396264,13.354571,19.445835,19.785007,22.542912,30.720024,31.953619,32.798233,37.932613,37.915527,36.435825
