时间点,实际值,预测值
P1,0.019600000232458115,3.7648745
P2,0.019200000911951065,0.039299037
P3,0.019600000232458115,0.020241575
P4,0.01860000006854534,0.02063019
P5,0.027400000020861626,0.020613277
P6,0.022600000724196434,0.019066207
P7,0.018400000408291817,0.019869199
P8,0.026399999856948853,0.02128379
P9,0.019200000911951065,0.019641189
P10,0.02019999921321869,0.020728823
P11,0.01860000006854534,0.019385604
P12,0.026399999856948853,0.021704031
P13,0.018799999728798866,0.021093301
P14,0.014000000432133675,0.020215869
P15,0.020800000056624413,0.020443335
P16,0.01360000018030405,0.020220954
P17,0.0142000000923872,0.020494904
P18,0.020800000056624413,0.021059059
P19,0.012400000356137753,0.020374797
P20,0.0284000001847744,0.031623088
P21,0.018200000748038292,0.044697598
P22,0.013000000268220901,0.23368719
P23,0.025200000032782555,0.9220912
P24,0.026799999177455902,2.270266
P25,0.7875999808311462,3.9991252
P26,4.665999889373779,7.1843753
P27,10.985400199890137,12.152226
P28,18.421199798583984,19.145868
P29,28.40060043334961,26.656462
P30,41.146400451660156,36.81304
P31,54.7593994140625,49.4544
P32,68.81060028076172,61.51038
P33,86.80400085449219,76.03504
P34,100.3052978515625,93.28837
P35,116.88420104980469,106.478455
P36,133.06500244140625,121.64265
P37,148.16639709472656,141.86967
P38,162.9033966064453,154.15135
P39,177.15939331054688,164.53401
P40,186.91000366210938,175.23093
P41,197.6540069580078,186.72725
P42,205.08920288085938,197.60088
P43,211.7115936279297,202.40077
P44,219.4364013671875,209.03539
P45,226.03160095214844,211.096
P46,230.2021942138672,214.97351
P47,231.17160034179688,219.79929
P48,236.41700744628906,221.79303
P49,235.83799743652344,217.50662
P50,236.49459838867188,214.595
P51,231.4575958251953,206.93007
P52,228.45680236816406,205.55222
P53,225.0303955078125,206.41336
P54,221.047607421875,206.12367
P55,212.96705627441406,202.66356
P56,208.06329345703125,201.68713
P57,200.4003448486328,189.75111
P58,188.05979919433594,182.28656
P59,183.24807739257812,168.72556
P60,169.95396423339844,168.81085
P61,155.78904724121094,155.54523
P62,145.0421142578125,142.85136
P63,139.7729949951172,128.97092
P64,135.27879333496094,109.13775
P65,111.04540252685547,96.000755
P66,88.28939819335938,87.620316
P67,69.91320037841797,72.70187
P68,53.70280075073242,59.65066
P69,37.22060012817383,47.119812
P70,25.498199462890625,34.92726
P71,14.65939998626709,24.06195
P72,7.094200134277344,16.045683
P73,1.2857999801635742,8.921386
P74,0.2720000147819519,4.4580655
P75,0.36800000071525574,2.2705739
P76,0.012600000016391277,0.7409785
P77,0.020999999716877937,0.042005938
P78,0.012000000104308128,-0.2069303
P79,0.02773333340883255,-0.34328148
P80,0.021266667172312737,-0.30340084
P81,0.027400000020861626,-0.27787003
P82,0.024800000712275505,-0.25936645
P83,0.025599999353289604,-0.40371928
P84,0.02500000037252903,-0.3643592
P85,0.0348999984562397,-0.4275363
P86,0.025200000032782555,-0.3785488
P87,0.02319999970495701,-0.4325135
P88,0.024800000712275505,-0.22852567
P89,0.036400001496076584,-0.41501763
P90,0.033399999141693115,-0.3520532
P91,0.024000000208616257,-0.42266214
P92,0.02419999986886978,-0.5243858
P93,0.023399999365210533,-0.4871837
P94,0.03099999949336052,-0.4481216
P95,0.033399999141693115,-0.39347222
P96,0.03180000185966492,-0.3160151
