日期,时间点,实际值,预测值
2022-09-16,P1,0.019600000232458115,3.7648745
2022-09-16,P2,0.019200000911951065,0.039299037
2022-09-16,P3,0.019600000232458115,0.020241575
2022-09-16,P4,0.01860000006854534,0.02063019
2022-09-16,P5,0.027400000020861626,0.020613277
2022-09-16,P6,0.022600000724196434,0.019066207
2022-09-16,P7,0.018400000408291817,0.019869199
2022-09-16,P8,0.026399999856948853,0.02128379
2022-09-16,P9,0.019200000911951065,0.019641189
2022-09-16,P10,0.02019999921321869,0.020728823
2022-09-16,P11,0.01860000006854534,0.019385604
2022-09-16,P12,0.026399999856948853,0.021704031
2022-09-16,P13,0.018799999728798866,0.021093301
2022-09-16,P14,0.014000000432133675,0.020215869
2022-09-16,P15,0.020800000056624413,0.020443335
2022-09-16,P16,0.01360000018030405,0.020220954
2022-09-16,P17,0.0142000000923872,0.020494904
2022-09-16,P18,0.020800000056624413,0.021059059
2022-09-16,P19,0.012400000356137753,0.020374797
2022-09-16,P20,0.0284000001847744,0.031623088
2022-09-16,P21,0.018200000748038292,0.044697598
2022-09-16,P22,0.013000000268220901,0.23368719
2022-09-16,P23,0.025200000032782555,0.9220912
2022-09-16,P24,0.026799999177455902,2.270266
2022-09-16,P25,0.7875999808311462,3.9991252
2022-09-16,P26,4.665999889373779,7.1843753
2022-09-16,P27,10.985400199890137,12.152226
2022-09-16,P28,18.421199798583984,19.145868
2022-09-16,P29,28.40060043334961,26.656462
2022-09-16,P30,41.146400451660156,36.81304
2022-09-16,P31,54.7593994140625,49.4544
2022-09-16,P32,68.81060028076172,61.51038
2022-09-16,P33,86.80400085449219,76.03504
2022-09-16,P34,100.3052978515625,93.28837
2022-09-16,P35,116.88420104980469,106.478455
2022-09-16,P36,133.06500244140625,121.64265
2022-09-16,P37,148.16639709472656,141.86967
2022-09-16,P38,162.9033966064453,154.15135
2022-09-16,P39,177.15939331054688,164.53401
2022-09-16,P40,186.91000366210938,175.23093
2022-09-16,P41,197.6540069580078,186.72725
2022-09-16,P42,205.08920288085938,197.60088
2022-09-16,P43,211.7115936279297,202.40077
2022-09-16,P44,219.4364013671875,209.03539
2022-09-16,P45,226.03160095214844,211.096
2022-09-16,P46,230.2021942138672,214.97351
2022-09-16,P47,231.17160034179688,219.79929
2022-09-16,P48,236.41700744628906,221.79303
2022-09-16,P49,235.83799743652344,217.50662
2022-09-16,P50,236.49459838867188,214.595
2022-09-16,P51,231.4575958251953,206.93007
2022-09-16,P52,228.45680236816406,205.55222
2022-09-16,P53,225.0303955078125,206.41336
2022-09-16,P54,221.047607421875,206.12367
2022-09-16,P55,212.96705627441406,202.66356
2022-09-16,P56,208.06329345703125,201.68713
2022-09-16,P57,200.4003448486328,189.75111
2022-09-16,P58,188.05979919433594,182.28656
2022-09-16,P59,183.24807739257812,168.72556
2022-09-16,P60,169.95396423339844,168.81085
2022-09-16,P61,155.78904724121094,155.54523
2022-09-16,P62,145.0421142578125,142.85136
2022-09-16,P63,139.7729949951172,128.97092
2022-09-16,P64,135.27879333496094,109.13775
2022-09-16,P65,111.04540252685547,96.000755
2022-09-16,P66,88.28939819335938,87.620316
2022-09-16,P67,69.91320037841797,72.70187
2022-09-16,P68,53.70280075073242,59.65066
2022-09-16,P69,37.22060012817383,47.119812
2022-09-16,P70,25.498199462890625,34.92726
2022-09-16,P71,14.65939998626709,24.06195
2022-09-16,P72,7.094200134277344,16.045683
2022-09-16,P73,1.2857999801635742,8.921386
2022-09-16,P74,0.2720000147819519,4.4580655
2022-09-16,P75,0.36800000071525574,2.2705739
